Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Expansion Slot 3,Artists 3,Flavor Text 3,Image URL 3
ASR011,ASR,Scar for a Scar,Red,1,,,,,,,,,,,,,,,,,,,,,,C,,,Arif Wijaya,,,ASR011,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR011.png,,,,,,,,,,,,,,,,,,,
ASR012,ASR,Seek Vengeance,Red,1,0,4,3,,,,"Ninja, Action, Attack",,"Combo, Go again",,,,,,"**Combo** - If Edge of Autumn was the last attack this combat chain, this gets **go again**.",Ninja Action - Attack,,,,No,,R,S,,Ramza Ardyputra,,,ASR012,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR012.png,,,,,,,,,,,,,,,,,,,
ASR013,ASR,Snatch,Red,1,,,,,,,,,,,,,,,,,,,,No,,R,,,Yulia Litvinova,,,ASR013,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR013.png,,,,,,,,,,,,,,,,,,,
ASR014,ASR,Soulbead Strike,Red,1,,,,,,,,,,,,,,,,,,,,,,C,,,Cristián Huerta,,,ASR014,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR014.png,,,,,,,,,,,,,,,,,,,
ASR015,ASR,Torrent of Tempo,Red,1,,,,,,,,,,,,,,,,,,,,,,C,,,Asep Ariyanto,,,ASR015,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR015.png,,,,,,,,,,,,,,,,,,,
ASR016,ASR,Razor Reflex,Red,1,,,,,,,,,,,,,,,,,,,,,,C,,,Adolfo Navarro,,,ASR016,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR016.png,,,,,,,,,,,,,,,,,,,
ASR017,ASR,Flic Flak,Red,1,,,,,,,,,,,,,,,,,,,,No,,R,,,Daniel Jiménez,,,ASR017,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR017.png,,,,,,,,,,,,,,,,,,,
ASR018,ASR,Sink Below,Red,1,,,,,,,,,,,,,,,,,,,,,,R,,,Vlad Varlamov,,,ASR018,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR018.png,,,,,,,,,,,,,,,,,,,
ASR019,ASR,Whirling Mist Blossom,Yellow,2,,,,,,,,,,,,,,,,,,,,,,C,,,Agri Karuniawan,,,ASR019,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR019.png,,,,,,,,,,,,,,,,,,,
ASR020,ASR,Bittering Thorns,Blue,3,1,2,2,,,,"Ninja, Action, Attack",,Go again,,,,,,,Ninja Action - Attack,,,,,,C,S,,Maerel Hibadita,,,ASR020,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR020.png,,,,,,,,,,,,,,,,,,,
ASR021,ASR,Flying Kick,Blue,3,,,,,,,,,,,,,,,,,,,,,,C,,,Kevin Sidharta,,,ASR021,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR021.png,,,,,,,,,,,,,,,,,,,
ASR022,ASR,Seek Vengeance,Blue,3,0,2,3,,,,"Ninja, Action, Attack",,"Combo, Go again",,,,,,"**Combo** - If Edge of Autumn was the last attack this combat chain, this gets **go again**.",Ninja Action - Attack,,,,No,,R,S,,Ramza Ardyputra,,,ASR022,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR022.png,,,,,,,,,,,,,,,,,,,
ASR023,ASR,Soulbead Strike,Blue,3,,,,,,,,,,,,,,,,,,,,,,C,,,Cristián Huerta,,,ASR023,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR023.png,,,,,,,,,,,,,,,,,,,
ASR024,ASR,Torrent of Tempo,Blue,3,,,,,,,,,,,,,,,,,,,,,,C,,,Asep Ariyanto,,,ASR024,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR024.png,,,,,,,,,,,,,,,,,,,
ASR025,ASR,Vengeance Never Rests,Blue,3,1,3,3,,,,"Ninja, Action, Attack",,"Combo, Go again",,,,,,"**Combo** - If Edge of Autumn was the last attack this combat chain, this gets **go again** and ""When this hits a hero, banish it. You may play it this turn.""",Ninja Action - Attack,,,,No,,M,S,,Esty Swandana,,,ASR025,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR025.png,,,,,,,,,,,,,,,,,,,
ASR026,ASR,Legacy of Ikaru,Blue,3,0,,3,,,,"Ninja, Attack Reaction",,,,,,,,"Target Ninja attack gets +1{p} and ""When this hits, if Edge of Autumn was the last attack this combat chain, draw a card.""",Ninja Attack Reaction,,,,No,,R,S,,Stormy Elia Fanggidae,,,ASR026,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR026.png,,,,,,,,,,,,,,,,,,,
ASR027,ASR,Energy Potion,Blue,3,,,,,,,,,,,,,,,,,,,,No,,R,,,Daniel Jiménez,,,ASR027,https://storage.googleapis.com/cardfaces/2025-ARMORY-ASR/EN/ASR027.png,,,,,,,,,,,,,,,,,,,
