Identifiers,Set Identifiers,Name,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Expansion Slot 3,Artists 3,Flavor Text 3,Image URL 3
AST011,AST,Lightning Surge,1,,,,,,,,,,,,,,,,,,,,,C,,,Phu Thieu,,,AST011,/AST011.png,,,,,,,,,,,,,,,,,,,
AST012,AST,Photon Rush,1,,,,,,,,,,,,,,,,,,,,,C,,,Emanuel Dias,,,AST012,/AST012.png,,,,,,,,,,,,,,,,,,,
AST013,AST,Skyzyk,1,0,3,3,,,,"Lightning, Action, Attack",,,,,,,"If this has go again, it gets +1{p}.",Lightning Action - Attack,,,,No,,R,R,,Ramza Ardyputra,,,AST013,https://d2wlb52bya4y8z.cloudfront.net/media/cards/normal/AST013.webp,,,R,,,Ramza Ardyputra,,,AST013,https://d2wlb52bya4y8z.cloudfront.net/media/cards/normal/AST013.webp,,,,,,,,,
AST014,AST,Snatch,1,,,,,,,,,,,,,,,,,,,No,,R,,,Yulia Litvinova,,,AST014,/AST014.png,,,,,,,,,,,,,,,,,,,
AST015,AST,Spark Spray,1,0,4,2,,,,"Lightning, Action, Attack",,,,,,,"When this is defended by 1 or more cards, you may pay {r}. If you do, this gets +1{p}.",Lightning Action - Attack,,,,,,C,R,,Aluísio Cervelle,,,AST015,https://d2wlb52bya4y8z.cloudfront.net/media/cards/normal/AST015.webp,,,C,,,Aluísio Cervelle,,,AST015,https://d2wlb52bya4y8z.cloudfront.net/media/cards/normal/AST015.webp,,,,,,,,,
AST016,AST,Static Shock,1,,,,,,,,,,,,,,,,,,,No,,R,,,Muhammad Fajri,,,AST016,/AST016.png,,,,,,,,,,,,,,,,,,,
AST017,AST,Burn Up // Shock,1,,,,,,,,,,,,,,,,,,,No,,R,,,"Faizal Fikri, Olga Tereshenko",,,AST017,/AST017.png,,,,,,,,,,,,,,,,,,,
AST018,AST,Sizzle,1,,,,,,,,,,,,,,,,,,,,,C,,,Asur Misoa,,,AST018,/AST018.png,,,,,,,,,,,,,,,,,,,
AST019,AST,Electromagnetic Somersault,1,,,,,,,,,,,,,,,,,,,No,,R,,,Narendra B Adi,,,AST019,/AST019.png,,,,,,,,,,,,,,,,,,,
AST020,AST,Electrostatic Discharge,1,,,,,,,,,,,,,,,,,,,,,C,,,Alief Rusdiatama,,,AST020,/AST020.png,,,,,,,,,,,,,,,,,,,
AST021,AST,Lightning Press,1,,,,,,,,,,,,,,,,,,,No,,R,,,Revazashvili E.,,,AST021,/AST021.png,,,,,,,,,,,,,,,,,,,
AST022,AST,Arc Lightning,2,,,,,,,,,,,,,,,,,,,No,,M,,,Asur Misoa,,,AST022,/AST022.png,,,,,,,,,,,,,,,,,,,
AST023,AST,Skyward Serenade,2,0,,2,,,,"Lightning, Runeblade, Action",Go again,,,,,,"Choose 2;
- Create an Embodiment of Lightning token.
- Search your deck for a Skyzyk, banish it, then shuffle. You may play it this turn.
- Your next attack this turn gets +1{p}.

**Go again**",Lightning Runeblade Action,,,,No,,M,R,,Ramza Ardyputra,,,AST023,https://d2wlb52bya4y8z.cloudfront.net/media/cards/normal/AST023.webp,,,M,,,Ramza Ardyputra,,,AST023,https://d2wlb52bya4y8z.cloudfront.net/media/cards/normal/AST023.webp,,,,,,,,,
AST024,AST,Arcanic Crackle,3,,,,,,,,,,,,,,,,,,,,,C,,,Joshua Raphael,,,AST024,/AST024.png,,,,,,,,,,,,,,,,,,,
AST025,AST,Heaven's Claws,3,,,,,,,,,,,,,,,,,,,,,C,,,Isuardi Therianto,,,AST025,/AST025.png,,,,,,,,,,,,,,,,,,,
AST026,AST,Captain's Call,3,,,,,,,,,,,,,,,,,,,No,,R,,,Joshua Raphael,,,AST026,/AST026.png,,,,,,,,,,,,,,,,,,,
AST027,AST,Written in the Stars,3,0,,3,,,,"Lightning, Runeblade, Action",,,,,,,"Create an Embodiment of Lightning token.
If you've dealt arcane damage this turn, draw a card.",Lightning Runeblade Action,,,,No,,M,R,,Olga Tereshenko,,,AST027,https://d2wlb52bya4y8z.cloudfront.net/media/cards/normal/AST027.webp,,,M,,,Olga Tereshenko,,,AST027,https://d2wlb52bya4y8z.cloudfront.net/media/cards/normal/AST027.webp,,,,,,,,,
AST028,AST,Embodiment of Lightning,,,,,,,,,,,,,,,,,,,,,,T,,,Nikolay Moskvin,,,AST028,/AST028.png,,,,,,,,,,,,,,,,,,,
AST029,AST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AST029,,,,,,,,,,,,,,,,,,,,
AST030,AST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AST030,,,,,,,,,,,,,,,,,,,,
AST031,AST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AST031,,,,,,,,,,,,,,,,,,,,
AST032,AST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AST032,,,,,,,,,,,,,,,,,,,,
AST033,AST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AST033,,,,,,,,,,,,,,,,,,,,
AST034,AST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AST034,,,,,,,,,,,,,,,,,,,,
AST035,AST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AST035,,,,,,,,,,,,,,,,,,,,
