Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,CC Legal,Silver Age Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Expansion Slot 3,Artists 3,Flavor Text 3,Image URL 3
AMA011,AMA,Dig for Souls,Red,1,X,,3,,,,"Shadow, Necromancer, Action",,Go again,,,,,,"Look at the top X cards of your deck. You may put a zombie from among them into your graveyard, then put the rest on the bottom of your deck in any order.

Your next zombie attack this turn gets +4{p} and ""When this hits, destroy this zombie.""

**Go again**",Shadow Necromancer Action,,,No,,M,,,Diana Tanamas,,,AMA011,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA011.webp,,,,,,,,,,,,,,,,,,,
AMA012,AMA,Shadowrealm Strength,Red,1,0,,3,,,,"Shadow, Necromancer, Action",,Go again,,,,,,"You may put a card from your banished zone into your graveyard. If it's a zombie, your next attack this turn gets +3{p}.

**Go again**",Shadow Necromancer Action,,,,,C,,,Surya Prasetya,,,AMA012,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA012.webp,,,,,,,,,,,,,,,,,,,
AMA013,AMA,Skeletal Puppetry,Red,1,2,,2,,,,"Necromancer, Action",,Go again,,,,,,"You may discard an ally rather than pay this card's {r} cost.

Your next ally attack this turn gets +3{p} and **go again**.

**Go again**",Necromancer Action,,,,,R,,,Mark Poole,,,AMA013,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA013.webp,,,,,,,,,,,,,,,,,,,
AMA014,AMA,Restless Commander,Red,1,0,3,,3,,,"Shadow, Necromancer, Action, Zombie, Ally",,Decay,,,,,,"Zombies you control get +1{p}.

**Decay**",Shadow Necromancer Action - Zombie Ally,,,No,,M,,,Joseph Qiu,,,AMA014,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA014.webp,,,,,,,,,,,,,,,,,,,
AMA015,AMA,Restless Looter,Red,1,0,3,,3,,,"Shadow, Necromancer, Action, Zombie, Ally",,Decay,,,,,,"**Instant** - {t}: Discard a card. If you do, draw a card.

**Decay**",Shadow Necromancer Action - Zombie Ally,,,,,R,,,Saad Irfan,,,AMA015,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA015.webp,,,,,,,,,,,,,,,,,,,
AMA016,AMA,Restless Magister,Red,1,0,3,,3,,,"Shadow, Necromancer, Action, Zombie, Ally",,Decay,,,,,,"When this hits a hero, they banish a card from their hand.

**Decay**",Shadow Necromancer Action - Zombie Ally,,,,,R,,,Isuardi Therianto,,,AMA016,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA016.webp,,,,,,,,,,,,,,,,,,,
AMA017,AMA,Restless Outlaw,Red,1,0,3,,3,,,"Shadow, Necromancer, Action, Zombie, Ally",,Decay,,,,,,"When this dies, create a Corrupted Corpse in your banished zone.

**Decay**",Shadow Necromancer Action - Zombie Ally,,,,,C,,,Kevin Sidharta,,,AMA017,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA017.webp,,,,,,,,,,,,,,,,,,,
AMA018,AMA,Restless Quartermaster,Red,1,0,3,,3,,,"Shadow, Necromancer, Action, Zombie, Ally",,Decay,,,,,,"When this hits a hero, they banish a card in their arsenal.

**Decay**",Shadow Necromancer Action - Zombie Ally,,,,,R,,,Sebastian Giacobino,,,AMA018,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA018.webp,,,,,,,,,,,,,,,,,,,
AMA019,AMA,Restless Steed,Red,1,0,3,,3,,,"Shadow, Necromancer, Action, Zombie, Ally",,Decay,,,,,,"When this hits, the attack gets **go again**.

**Decay**",Shadow Necromancer Action - Zombie Ally,,,,,C,,,Stormy Elia Fanggidae,,,AMA019,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA019.webp,,,,,,,,,,,,,,,,,,,
AMA020,AMA,Countdown to Extinction,Blue,3,3,4,3,,,,"Shadow, Action, Attack",,Blood Debt,,,,,,"When this attacks, create a Gate to i'Arathael token.

When this hits, you may search your deck for a Darkest Hour, banish it, then shuffle.

**Blood Debt**",Shadow Action - Attack,,,,,R,,,Nailsen Ivanderlie,,,AMA020,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA020.webp,,,,,,,,,,,,,,,,,,,
AMA021,AMA,Clambering Corpses,Blue,3,0,1,3,,,,"Shadow, Necromancer, Action, Attack",,Go again,,,,,,"When this attacks, you may discard a zombie. If you do, this gets +3{p} and **go again**.

When this hits a hero, your zombie attacks this turn get **go again**.",Shadow Necromancer Action - Attack,,,No,,M,,,Tomasz Jedruszek,,,AMA021,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA021.webp,,,,,,,,,,,,,,,,,,,
AMA022,AMA,Otherworldly Ossuary,Blue,3,1,,3,,,,"Shadow, Necromancer, Action",,Go again,,,,,,"Create a Corrupted Corpse in your banished zone.

**Go again**",Shadow Necromancer Action,,,,,R,,,Ausonia,,,AMA022,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA022.webp,,,,,,,,,,,,,,,,,,,
AMA023,AMA,Pull from Beyond,Blue,3,0,,3,,,,"Shadow, Action",,"Opt 2, Go again",,,,,,"**Opt 2**

Banish the top card of your deck. If it's blue, create a Gate to i'Arathael token. **Go again**",Shadow Action,,,,,C,,,Marco González,,,AMA023,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA023.webp,,,,,,,,,,,,,,,,,,,
AMA024,AMA,Rites of Nightfall,Blue,3,1,,3,,,,"Shadow, Action",,Go again,,,,,,"Create a Gate to i'Arathael token.

**Go again**",Shadow Action,,,,,R,,,Esty Swandana,,,AMA024,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA024.webp,,,,,,,,,,,,,,,,,,,
AMA025,AMA,Shadowrealm Solace,Blue,3,0,,3,,,,"Shadow, Necromancer, Action",,Go again,,,,,,"You may put a card from your banished zone into your graveyard. If it's a zombie, gain 1{h}.

**Go again**",Shadow Necromancer Action,,,,,C,,,Hansen Oni,,,AMA025,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA025.webp,,,,,,,,,,,,,,,,,,,
AMA026,AMA,Shadowrealm Strength,Blue,3,0,,3,,,,"Shadow, Necromancer, Action",,Go again,,,,,,"You may put a card from your banished zone into your graveyard. If it's a zombie, your next attack this turn gets +1{p}.

**Go again**",Shadow Necromancer Action,,,,,C,,,Surya Prasetya,,,AMA026,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA026.webp,,,,,,,,,,,,,,,,,,,
AMA027,AMA,Skeletal Puppetry,Blue,3,2,,2,,,,"Necromancer, Action",,Go again,,,,,,"You may discard an ally rather than pay this card's {r} cost.

Your next ally attack this turn gets +1{p} and **go again**.

**Go again**",Necromancer Action,,,,,R,,,Mark Poole,,,AMA027,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA027.webp,,,,,,,,,,,,,,,,,,,
AMA028,AMA,Mark of Ushering,Blue,3,0,,,,,,"Shadow, Necromancer, Instant, Aura",,Binds,,,,,,"**Binds** to an ally permanent you control.

The bound ally gets +1{p} and ""Whenever this hits a hero or dies, create a Gate to i'Arathael token.""",Shadow Necromancer Instant - Aura,,,,,R,,,Tomasz Jedruszek,,,AMA028,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA028.webp,,,,,,,,,,,,,,,,,,,
AMA029,AMA,Corrupted Corpse,,,2,3,,3,,,"Shadow, Necromancer, Action, Zombie, Ally",,"Incarnate, Go again, Blood Debt",,,,,,"**Incarnate**

This card's attacks get **go again**.

**Blood Debt**",Shadow Necromancer Action - Zombie Ally,,,,,B,,,Carlos Cruchaga,,,AMA029,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA029.webp,,,,,,,,,,,,,,,,,,,
AMA030,AMA,Gate to i'Arathael,,,,,,,,,"Shadow, Token, Aura",,,,,,,,"**Instant** - {r}, destroy this: You may play target action card with blood debt from your banished zone this turn.",Shadow Token - Aura,,,,,B,,,Carlos Cruchaga,,,AMA030,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA030.webp,,,,,,,,,,,,,,,,,,,
AMA031,AMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMA031,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMA031.webp,,,,,,,,,,,,,,,,,,,
