Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,CC Legal,Silver Age Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Artists 3,Expansion Slot 3,Flavor Text 3,Identifier 3,Image URL 3,Rarity 4,Foiling 4,Art Variations 4,Artists 4,Expansion Slot 4,Flavor Text 4,Identifier 4,Image URL 4,Rarity 5,Foiling 5,Art Variations 5,Artists 5,Expansion Slot 5,Flavor Text 5,Identifier 5,Image URL 5,Rarity 6,Foiling 6,Art Variations 6,Artists 6,Expansion Slot 6,Flavor Text 6,Identifier 6,Image URL 6
AMO011,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO011,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO011.webp,,,,,,,,,AMO011,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO011.webp,,,,,,,,,AMO011,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO011.webp,,,,,,,AMO011,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO011.webp,,,,,,,AMO011,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO011.webp,,,,,,,AMO011,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO011.webp
AMO012,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO012,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO012.webp,,,,,,,,,AMO012,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO012.webp,,,,,,,,,AMO012,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO012.webp,,,,,,,AMO012,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO012.webp,,,,,,,AMO012,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO012.webp,,,,,,,AMO012,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO012.webp
AMO013,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO013,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO013.webp,,,,,,,,,AMO013,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO013.webp,,,,,,,,,AMO013,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO013.webp,,,,,,,AMO013,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO013.webp,,,,,,,AMO013,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO013.webp,,,,,,,AMO013,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO013.webp
AMO014,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO014,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO014.webp,,,,,,,,,AMO014,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO014.webp,,,,,,,,,AMO014,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO014.webp,,,,,,,AMO014,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO014.webp,,,,,,,AMO014,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO014.webp,,,,,,,AMO014,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO014.webp
AMO015,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO015,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO015.webp,,,,,,,,,AMO015,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO015.webp,,,,,,,,,AMO015,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO015.webp,,,,,,,AMO015,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO015.webp,,,,,,,AMO015,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO015.webp,,,,,,,AMO015,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO015.webp
AMO016,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO016,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO016.webp,,,,,,,,,AMO016,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO016.webp,,,,,,,,,AMO016,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO016.webp,,,,,,,AMO016,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO016.webp,,,,,,,AMO016,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO016.webp,,,,,,,AMO016,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO016.webp
AMO017,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO017,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO017.webp,,,,,,,,,AMO017,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO017.webp,,,,,,,,,AMO017,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO017.webp,,,,,,,AMO017,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO017.webp,,,,,,,AMO017,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO017.webp,,,,,,,AMO017,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO017.webp
AMO018,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO018,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO018.webp,,,,,,,,,AMO018,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO018.webp,,,,,,,,,AMO018,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO018.webp,,,,,,,AMO018,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO018.webp,,,,,,,AMO018,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO018.webp,,,,,,,AMO018,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO018.webp
AMO019,AMO,Viral Diffusion,Red,1,3,,4,,,,"Assassin, Defense Reaction, Trap",,Mortimer Specialization,,,,,,"**Mortimer Specialization**

When this defends, create a Frailty, Inertia, and Bloodrot Pox token under the attacking hero's control.",Assassin Defense Reaction - Trap,,,No,,M,,,Firaz M. Rasyid,,,AMO019,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO019.webp,,,,,,Firaz M. Rasyid,,,AMO019,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO019.webp,,,,,,Firaz M. Rasyid,,,AMO019,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO019.webp,,,,Firaz M. Rasyid,,,AMO019,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO019.webp,,,,Firaz M. Rasyid,,,AMO019,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO019.webp,,,,Firaz M. Rasyid,,,AMO019,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO019.webp
AMO020,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO020,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO020.webp,,,,,,,,,AMO020,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO020.webp,,,,,,,,,AMO020,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO020.webp,,,,,,,AMO020,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO020.webp,,,,,,,AMO020,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO020.webp,,,,,,,AMO020,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO020.webp
AMO021,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO021,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO021.webp,,,,,,,,,AMO021,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO021.webp,,,,,,,,,AMO021,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO021.webp,,,,,,,AMO021,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO021.webp,,,,,,,AMO021,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO021.webp,,,,,,,AMO021,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO021.webp
AMO022,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO022,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO022.webp,,,,,,,,,AMO022,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO022.webp,,,,,,,,,AMO022,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO022.webp,,,,,,,AMO022,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO022.webp,,,,,,,AMO022,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO022.webp,,,,,,,AMO022,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO022.webp
AMO023,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO023,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO023.webp,,,,,,,,,AMO023,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO023.webp,,,,,,,,,AMO023,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO023.webp,,,,,,,AMO023,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO023.webp,,,,,,,AMO023,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO023.webp,,,,,,,AMO023,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO023.webp
AMO024,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO024,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO024.webp,,,,,,,,,AMO024,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO024.webp,,,,,,,,,AMO024,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO024.webp,,,,,,,AMO024,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO024.webp,,,,,,,AMO024,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO024.webp,,,,,,,AMO024,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO024.webp
AMO025,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO025,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO025.webp,,,,,,,,,AMO025,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO025.webp,,,,,,,,,AMO025,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO025.webp,,,,,,,AMO025,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO025.webp,,,,,,,AMO025,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO025.webp,,,,,,,AMO025,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO025.webp
AMO026,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO026,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO026.webp,,,,,,,,,AMO026,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO026.webp,,,,,,,,,AMO026,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO026.webp,,,,,,,AMO026,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO026.webp,,,,,,,AMO026,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO026.webp,,,,,,,AMO026,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO026.webp
AMO027,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO027,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO027.webp,,,,,,,,,AMO027,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO027.webp,,,,,,,,,AMO027,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO027.webp,,,,,,,AMO027,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO027.webp,,,,,,,AMO027,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO027.webp,,,,,,,AMO027,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO027.webp
AMO028,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO028,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO028.webp,,,,,,,,,AMO028,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO028.webp,,,,,,,,,AMO028,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO028.webp,,,,,,,AMO028,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO028.webp,,,,,,,AMO028,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO028.webp,,,,,,,AMO028,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO028.webp
AMO029,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO029,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO029.webp,,,,,,,,,AMO029,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO029.webp,,,,,,,,,AMO029,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO029.webp,,,,,,,AMO029,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO029.webp,,,,,,,AMO029,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO029.webp,,,,,,,AMO029,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO029.webp
AMO030,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO030,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO030.webp,,,,,,,,,AMO030,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO030.webp,,,,,,,,,AMO030,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO030.webp,,,,,,,AMO030,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO030.webp,,,,,,,AMO030,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO030.webp,,,,,,,AMO030,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO030.webp
AMO031,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO031,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO031.webp,,,,,,,,,AMO031,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO031.webp,,,,,,,,,AMO031,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO031.webp,,,,,,,AMO031,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO031.webp,,,,,,,AMO031,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO031.webp,,,,,,,AMO031,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO031.webp
AMO032,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO032,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO032.webp,,,,,,,,,AMO032,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO032.webp,,,,,,,,,AMO032,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO032.webp,,,,,,,AMO032,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO032.webp,,,,,,,AMO032,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO032.webp,,,,,,,AMO032,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO032.webp
AMO033,AMO,Silver,,,,,,,,,"Generic, Token, Item",,,,,,,,"**Action** - {r}{r}{r}, destroy this: Draw a card. **Go again**",Generic Token - Item,,,,,B,,AA,Milivoj Ćeran,,,AMO033,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO033.webp,,,,,,Milivoj Ćeran,,,AMO033,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO033.webp,,,,,,Milivoj Ćeran,,,AMO033,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO033.webp,,,,Milivoj Ćeran,,,AMO033,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO033.webp,,,,Milivoj Ćeran,,,AMO033,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO033.webp,,,,Milivoj Ćeran,,,AMO033,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO033.webp
AMO034,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO034,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO034.webp,,,,,,,,,AMO034,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO034.webp,,,,,,,,,AMO034,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO034.webp,,,,,,,AMO034,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO034.webp,,,,,,,AMO034,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO034.webp,,,,,,,AMO034,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO034.webp
AMO035,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMO035,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO035.webp,,,,,,,,,AMO035,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO035.webp,,,,,,,,,AMO035,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO035.webp,,,,,,,AMO035,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO035.webp,,,,,,,AMO035,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO035.webp,,,,,,,AMO035,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/AMO035.webp
