Identifiers,Set Identifiers,Name,Pitch,Cost,Power,Defense,Life,Intelligence,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,Rarity,Foiling,Art Variation,Artist,Flavor Text,Image URL,Rarity 2,Foiling 2,Art Variation 2,Artist 2,Flavor Text 2,Image URL 2
TCC069,TCC,Song of Yesteryears,3,0,,3,,,"Bard, Action, Song",,,,,,,Each other hero puts an attack action card from their graveyard on the. bottom of their deck.,Bard Action - Song,,,,,C,,,Mateusz Wiśniewski,,https://dhhim4ltzu1pj.cloudfront.net/media/images/TCC069_yajPa8R.width-450.format-webp.webp,,,,,,
TCC070,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC071,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC072,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC073,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC074,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC075,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC076,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC077,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC078,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC079,TCC,Mask of Three Tails,,,,0,,,"Ninja, Equipment, Head",Instant,,,,,,**Instant** - Destroy this: Draw a card. Activate this ability only if you've hit 3 or more times this combat chain.,Ninja Equipment - Head,,,,,R,,,Kimberly Pantoni,,https://dhhim4ltzu1pj.cloudfront.net/media/images/TCC079_yajPa8R.width-450.format-webp.webp,,,,,,
TCC080,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC081,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC082,TCC,Pouncing Paws,,,,1,,,"Ninja, Equipment, Legs","Instant, Battleworn",,,,,,"**Instant** - Destroy this: Create a Crouching Tiger in your banished zone. You may play it this turn.

**Battleworn**",Ninja Equipment - Legs,,,,,R,,,Kimberly Pantoni,,https://dhhim4ltzu1pj.cloudfront.net/media/images/TCC082_yajPa8R.width-450.format-webp.webp,,,,,,
TCC083,TCC,Bittering Thorns,1,1,4,2,,,"Ninja, Action, Attack",Go again,,,,,,"When this hits, your next attack this turn gets +1{p}.

**Go again**",Ninja Action - Attack,,,,,C,,,Maerel Hibadita,,https://dhhim4ltzu1pj.cloudfront.net/media/images/TCC083_yajPa8R.width-450.format-webp.webp,,,,,,
TCC084,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC085,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC086,TCC,Growl,1,0,3,2,,,"Ninja, Action, Attack",Go again,,,,,,"When this attacks, the next Crouching Tiger you play this combat chain gets +1{p}.

**Go again**",Ninja Action - Attack,,,,No,R,,,Vito Vivodka,,https://dhhim4ltzu1pj.cloudfront.net/media/images/TCC086_yajPa8R.width-450.format-webp.webp,,,,,,
TCC087,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC088,TCC,Mauling Qi,1,1,5,3,,,"Ninja, Action, Attack",Combo,,,,,,"**Combo** - When this hits, if Crouching Tiger was the last attack this combat chain, deal 1 damage to each opposing hero.",Ninja Action - Attack,,,,No,M,,,Jessketchin,,https://dhhim4ltzu1pj.cloudfront.net/media/images/TCC088_yajPa8R.width-450.format-webp.webp,,,,,,
TCC089,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC090,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC091,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC092,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC093,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC094,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC095,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC096,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC097,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC098,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC099,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC100,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC101,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC102,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC103,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC104,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC105,TCC,Might,,,,,,,"Generic, Token, Aura",,,,,,,"At the start of your turn, destroy this, then your next attack this turn gets +1{p}.",Generic Token - Aura,,,,,T,,,Henrique Lindner,,/TCC105.webp,,,,,,
TCC106,TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
