Identifiers,Set Identifiers,Name,Pitch,Cost,Power,Defense,Life,Intelligence,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,Rarity,Foiling,Art Variation,Artist,Flavor Text,Image URL,Rarity 2,Foiling 2,Art Variation 2,Artist 2,Flavor Text 2,Image URL 2,Rarity 3,Foiling 3,Art Variation 3,Artist 3,Flavor Text 3,Image URL 3
HVY013,HVY,Show No Mercy,1,3,6,3,,,"Brute, Action, Attack","Rhinar Specialization, Intimidate",,,,,,"**Rhinar Specialization**

When this attacks a hero, **intimidate** them.

If the defending hero has no cards in hand, this gets +3{p}.",Brute Action - Attack,,,,No,M,,,Athiwut B.,,/HVY013.png,,,,,,,,,,,,
HVY014,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY015,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY016,HVY,No Fear,1,0,,,,,"Brute, Instant",,,,,,,"As an additional cost to play this, banish any number of cards with 6 or more {p} from your hand. At the beginning of the end phase, return them to your hand.

The next time you would be dealt damage this turn, prevent X of that damage, where X is 2 plus the number of cards banished to play this.",Brute Instant,,,,No,M,,,Eilene Cherie,,/HVY016.png,,,,,,,,,,,,
HVY017,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY018,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY019,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY020,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY021,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY022,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY023,HVY,Rawhide Rumble,1,2,6,3,,,"Brute, Action, Attack","Beat Chest, Intimidate",,,,,Beat Chest,"**Beat Chest**

When this attacks a hero, if you've **beaten chest** this turn, **intimidate** them.",Brute Action - Attack,,,,No,R,,,Othon Nikolaidis,,/HVY023.png,,,,,,,,,,,,
HVY024,HVY,Rawhide Rumble,2,2,5,3,,,"Brute, Action, Attack","Beat Chest, Intimidate",,,,,Beat Chest,"**Beat Chest**

When this attacks a hero, if you've **beaten chest** this turn, **intimidate** them.",Brute Action - Attack,,,,No,R,,,Othon Nikolaidis,,/HVY024.png,,,,,,,,,,,,
HVY025,HVY,Rawhide Rumble,3,2,4,3,,,"Brute, Action, Attack","Beat Chest, Intimidate",,,,,Beat Chest,"**Beat Chest**

When this attacks a hero, if you've **beaten chest** this turn, **intimidate** them.",Brute Action - Attack,,,,No,R,,,Othon Nikolaidis,,/HVY025.png,,,,,,,,,,,,
HVY026,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY027,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY028,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY029,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY030,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY031,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY032,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY033,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY034,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY035,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY036,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY037,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY038,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY039,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY040,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY041,HVY,Bonebreaker Bellow,1,1,,3,,,"Brute, Action","Beat Chest, Go again",,,,,Beat Chest,"**Beat Chest**

Your next Brute attack this turn gains +3{p}. If you've **beaten chest** this turn, instead it gains +5{p}.

**Go again**",Brute Action,,,,,C,,,Anastasia Balakchina,,/HVY041.png,,,,,,,,,,,,
HVY042,HVY,Bonebreaker Bellow,2,1,,3,,,"Brute, Action","Beat Chest, Go again",,,,,Beat Chest,"**Beat Chest**

Your next Brute attack this turn gains +2{p}. If you've **beaten chest** this turn, instead it gains +5{p}.

**Go again**",Brute Action,,,,,C,,,Anastasia Balakchina,,/HVY042.png,,,,,,,,,,,,
HVY043,HVY,Bonebreaker Bellow,3,1,,3,,,"Brute, Action","Beat Chest, Go again",,,,,Beat Chest,"**Beat Chest**

Your next Brute attack this turn gains +1{p}. If you've **beaten chest** this turn, instead it gains +5{p}.

**Go again**",Brute Action,,,,,C,,,Anastasia Balakchina,,/HVY043.png,,,,,,,,,,,,
HVY044,HVY,Smashback Alehorn,3,0,,2,,,"Brute, Action",Go again,,,,,,"Create an Agility and a Might token.

**Go again**",Brute Action,,,,,C,,,Carlos Cruchaga,,/HVY044.png,,,,,,,,,,,,
HVY045,HVY,"Betsy, Skin in the Game",,,,,40,4,"Guardian, Hero",Overpower,,,,,,"Whenever an attack you control **wagers**, you may pay {r}{r}. If you do, the attack gets +1{p} and **overpower**.",Guardian Hero,,No,,No,M,,,Simon Dominic,,/HVY045.png,V,C,,Simon Dominic,,,V,C,FA,Simon Dominic,,/HVY045_M_Back.png
HVY046,HVY,Betsy,,,,,20,4,"Guardian, Hero, Young",Overpower,,,,,,"Whenever an attack you control **wagers**, you may pay {r}{r}. If you do, the attack gets +1{p} and **overpower**.",Guardian Hero - Young,,,No,,T,,,Simon Dominic,,/HVY046.png,V,C,,Simon Dominic,,,V,C,FA,Simon Dominic,,/HVY046_M_Back.png
HVY047,HVY,"Victor Goldmane, High and Mighty",,,,,40,4,"Guardian, Hero",Clash,,,,,Clash,"The first time each turn you create a Gold token from an effect you control, draw a card.

The first time each turn you would fail to win a **clash**, instead you may destroy a Gold you control. If you do, put 1 of the revealed cards on the bottom of its owner's deck, then **clash** again.",Guardian Hero,,No,,No,M,,,Billy Christian,,/HVY047.png,V,C,,Billy Christian,,/HVY047_M.png,V,C,FA,Billy Christian,,/HVY047_M_Back.png
HVY048,HVY,Victor Goldmane,,,,,20,4,"Guardian, Hero, Young",Clash,,,,,Clash,"The first time each turn you create a Gold token from an effect you control, draw a card.

The first time each turn you would fail to win a **clash**, instead you may destroy a Gold you control. If you do, put 1 of the revealed cards on the bottom of its owner's deck, then **clash** again.",Guardian Hero,,,No,,T,,,Billy Christian,,/HVY048.png,V,C,,Billy Christian,,/HVY048_M.png,V,C,FA,Billy Christian,,/HVY048_M_Back.png
HVY049,HVY,High Riser,,,3,,,,"Guardian, Weapon, Hammer, 1H",,,,,,,"**Once per Turn Action** - {r}{r}{r}: **Attack**

If you've drawn a card this turn, this gets +1{p}.",Guardian Weapon - Hammer (1H),,,,,C,,,,,/HVY049.png,,,,,,,,,,,,
HVY050,HVY,Miller's Grindstone,,,4,,,,"Guardian, Weapon, Hammer, 1H",Clash,Once per Turn Action,Attack,,,,"**Once per Turn Action** - {r}{r}{r}: **Attack**

When this hits a hero, **clash** with them. If you win, destroy the top card of their deck. If they win, put a -1{p} counter on this.",Guardian Weapon - Hammer (1H),,,,,R,,,Marcus Reyno,,/HVY050.png,,,,,,,,,,,,
HVY051,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY052,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY053,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY054,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY055,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY056,HVY,Stand Ground,,,,0,,,"Guardian, Equipment, Legs",Temper,,,,,,"If you control a Might token, this gets +1{d}.

If you control a Vigor token, this gets +1{d}.

**Temper**",Guardian Equipment - Legs,,,,,C,,,Vera Rudichenko,,https://storage.googleapis.com/fabmaster/cardfaces/2023-HVY/EN/HVY056.png,,,,,,,,,,,,
HVY057,HVY,Bet Big,1,4,8,3,,,"Guardian, Action, Attack","Betsy Specialization, Wager",,,,,,"**Betsy Specialization**

When this attacks a hero, you may **wager** a Gold, Might, and Vigor token with them.",Guardian Action - Attack,,,,No,M,,,Faizal Fikri,,/HVY057.png,,,,,,,,,,,,
HVY058,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY059,HVY,The Golden Son,2,4,7,3,,,"Guardian, Action, Attack","Victor Specialization, Overpower",,,,,Clash,"**Victor Specialization**

As an additional cost to play this, you may destroy a Gold you control. If you do, this gets +3{p} and **overpower**.

When you win a **clash** revealing this, create a Gold token.",Guardian Action - Attack,,,,No,M,,,Bastien Jez,"""Why wait for divine intervention, when gold can pave the way?"" - Victor Goldmane",/HVY059.png,,,,,,,,,,,,
HVY060,HVY,Boast,3,,,3,,,"Guardian, Block",,,,,,Clash,"This gets +X{d} while defending, where X is twice the number of **clashes** you've won this turn.",Guardian Block,,,,No,M,,,Henrique Lindner,,/HVY060.png,,,,,,,,,,,,
HVY061,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY062,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY063,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY064,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY065,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY066,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY067,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY068,HVY,Stacked in Your Favor,1,2,,2,,,"Guardian, Action, Aura",Go again,,,,,,"**Go again**

Your attack action cards get +3{d} while defending.

At the start of your turn, destroy this, draw a card, then put a card from your hand on top of your deck.",Guardian Action - Aura,,,,No,R,,,Mariusz Gandzel,,/HVY068.png,,,,,,,,,,,,
HVY069,HVY,Stacked in Your Favor,2,2,,2,,,"Guardian, Action, Aura",Go again,,,,,,"**Go again**

Your attack action cards get +2{d} while defending.

At the start of your turn, destroy this, draw a card, then put a card from your hand on top of your deck.",Guardian Action - Aura,,,,No,R,,,Mariusz Gandzel,,/HVY069.png,,,,,,,,,,,,
HVY070,HVY,Stacked in Your Favor,3,2,,2,,,"Guardian, Action, Aura",Go again,,,,,,"**Go again**

Your attack action cards get +1{d} while defending.

At the start of your turn, destroy this, draw a card, then put a card from your hand on top of your deck.",Guardian Action - Aura,,,,No,R,,,Mariusz Gandzel,,/HVY070.png,,,,,,,,,,,,
HVY071,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY072,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY073,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY074,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY075,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY076,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY077,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY078,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY079,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY080,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY081,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY082,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY083,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY084,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY085,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY086,HVY,Bigger Than Big,1,3,,2,,,"Guardian, Action, Aura",Wager,,,,,,"At the start of your turn, destroy this, then your next Guardian attack this turn gets +5{p} and ""When this attacks a hero, you may **wager** a Might token with them.""",Guardian Action - Aura,,,,,C,,,Tomasz Jedruszek,,/HVY086.png,,,,,,,,,,,,
HVY087,HVY,Bigger Than Big,2,3,,2,,,"Guardian, Action, Aura",Wager,,,,,,"At the start of your turn, destroy this, then your next Guardian attack this turn gets +4{p} and ""When this attacks a hero, you may **wager** a Might token with them.""",Guardian Action - Aura,,,,,C,,,Tomasz Jedruszek,,/HVY087.png,,,,,,,,,,,,
HVY088,HVY,Bigger Than Big,3,3,,2,,,"Guardian, Action, Aura",Wager,,,,,,"At the start of your turn, destroy this, then your next Guardian attack this turn gets +3{p} and ""When this attacks a hero, you may **wager** a Might token with them.""",Guardian Action - Aura,,,,,C,,,Tomasz Jedruszek,,/HVY088.png,,,,,,,,,,,,
HVY089,HVY,Pint of Strong and Stout,3,0,,2,,,"Guardian, Action",Go again,,,,,,"Create a Might and a Vigor token.

**Go again**",Guardian Action,,,,,C,,,Mariusz Gandzel,,/HVY089.png,,,,,,,,,,,,
HVY090,HVY,Kassai of the Golden Sand,,,,,40,4,"Warrior, Hero",,Once per Turn Action,Go again,,,,"If you've drawn a card this turn, your sword attacks cost {r} less to activate.

**Once per Turn Action** - Banish 2 red and 2 yellow cards from your graveyard: The next time a weapon you control hits a hero this turn, create a Gold token. **Go again**",Warrior Hero,,No,,No,M,,,Alexander Mokhov,,/HVY090.png,V,C,,Alexander Mokhov,,/HVY090_M.png,V,C,FA,Alexander Mokhov,,/HVY090_M_Back.png
HVY091,HVY,Kassai,,,,,20,4,"Warrior, Hero, Young",,Once per Turn Action,Go again,,,,"If you've drawn a card this turn, your sword attacks cost {r} less to activate.

**Once per Turn Action** - Banish 2 red and 2 yellow cards from your graveyard: The next time a weapon you control hits a hero this turn, create a Gold token. **Go again**",Warrior Hero - Young,,,No,,T,,,soyameii,,/HVY091.png,V,C,,soyameii,,/HVY091_M.png,V,C,FA,soyameii,,/HVY091_M_Back.png
HVY092,HVY,"Olympia, Prized Fighter",,,,,40,4,"Warrior, Hero",Wager,,,,,,"The first time each of your attacks wins a **wager**, create a Gold token.",Warrior Hero,,No,,No,M,,,Joseph Qiu,,/HVY092.png,V,C,,Joseph Qiu,,/HVY092_M.png,V,C,FA,Joseph Qiu,,/HVY092_M_Back.png
HVY093,HVY,Olympia,,,,,20,4,"Warrior, Hero, Young",Wager,,,,,,"The first time each of your attacks wins a **wager**, create a Gold token.",Warrior Hero - Young,,,No,,T,,,Joseph Qiu,,/HVY093.png,V,C,,Joseph Qiu,,/HVY093_M.png,V,C,FA,Joseph Qiu,,/HVY093_M_Back.png
HVY094,HVY,Cintari Saber,,,2,,,,"Warrior, Weapon, Sword, 1H",,,,,,,"**Once per Turn Action** - {r}: **Attack**

When this is defended by 1 or more attack action cards, this gets +1{p} until end of turn.",Warrior Weapon - Sword (1H),,,,,T,,,Reza Afshar,,/HVY094.png,,,,,,,,,,,,
HVY095,HVY,Hot Streak,,,2,,,,"Warrior, Weapon, Sword, 1H",Go again,,,,,,"**Once per Turn Action** - {r}: **Attack**

When this is defended by 1 or more attack action cards, Hot Streak's attacks get **go again** this turn.",Warrior Weapon - Sword (1H),,,,No,R,,,,,/HVY095.png,,,,,,,,,,,,
HVY096,HVY,Parry Blade,,,2,0,,,"Warrior, Weapon, Equipment, Sword, 1H",Blade Break,,,,,,"**Once per Turn Action** - {r}: **Attack**

This gets +2{d} while defending a weapon attack.

**Blade Break**",Warror Weapon Equipment - Sword (1H),,,,,R,,,,,/HVY096.png,,,,,,,,,,,,
HVY097,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY098,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY099,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY100,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY101,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY102,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY103,HVY,Up the Ante,3,X,,3,,,"Warrior, Attack Reaction","Olympia Specialization, wager",,,,,,"**Olympia Specialization**

Choose X+1;
- Target attack **wagers** an Agility token with the defending hero.
- Target attack **wagers** a Gold token with the defending hero.
- Target attack **wagers** a Vigor token with the defending hero.
- Target attack gets +Y{p}, where Y is the number of times it has **wagered**.",Warrior Attack Reaction,,,,No,M,,,Federico Musetti,,/HVY103.png,,,,,,,,,,,,
HVY104,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY105,HVY,Raise an Army,2,0,,3,,,"Warrior, Action","Kassai Specialization, Go again",,,,,,"**Kassai Specialization**

As an additional cost to play this, destroy X Gold you control.

Create X Cintari Sellsword tokens.

**Go again**",Warrior Action,,,,No,M,S,,Jessada Sutthi,,/HVY105.png,P,R,EA,Jessada Sutthi,,/FAB192.png,,,,,,
HVY106,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY107,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY108,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY109,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY110,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY111,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY112,HVY,Take the Upper Hand,1,0,,3,,,"Warrior, Attack Reaction",Wager,,,,,,"Play this only if you've **wagered** this chain link.

Target attack gets +3{p}.",Warrior Attack Reaction,,,,No,R,,,Faizal Fikri,,/HVY112.png,,,,,,,,,,,,
HVY113,HVY,Take the Upper Hand,2,0,,3,,,"Warrior, Attack Reaction",Wager,,,,,,"Play this only if you've **wagered** this chain link.

Target attack gets +2{p}.",Warrior Attack Reaction,,,,No,R,,,Faizal Fikri,,/HVY113.png,,,,,,,,,,,,
HVY114,HVY,Take the Upper Hand,3,0,,3,,,"Warrior, Attack Reaction",Wager,,,,,,"Play this only if you've **wagered** this chain link.

Target attack gets +1{p}.",Warrior Attack Reaction,,,,No,R,,,Faizal Fikri,,/HVY114.png,,,,,,,,,,,,
HVY115,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY116,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY117,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY118,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY119,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY120,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY121,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY122,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY123,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY124,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY125,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY126,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY127,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY128,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY129,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY130,HVY,Hold 'em,1,1,,3,,,"Warrior, Action","Go again, Wager",,,Wager,,,"Your next Warrior attack this turn gets +3{p} and ""When this attacks a hero, you may **wager** a Vigor token with them.""

**Go again**",Warrior Action,,,,,C,S,,Isuardi Therianto,,/HVY130.png,,,,,,,,,,,,
HVY131,HVY,Hold 'em,2,1,,3,,,"Warrior, Action","Go again, Wager",,,Wager,,,"Your next Warrior attack this turn gets +2{p} and ""When this attacks a hero, you may **wager** a Vigor token with them.""

**Go again**",Warrior Action,,,,,C,,,Isuardi Therianto,,/HVY131.png,,,,,,,,,,,,
HVY132,HVY,Hold 'em,3,1,,3,,,"Warrior, Action","Go again, Wager",,,Wager,,,"Your next Warrior attack this turn gets +1{p} and ""When this attacks a hero, you may **wager** a Vigor token with them.""

**Go again**",Warrior Action,,,,,C,,,Isuardi Therianto,,/HVY132.png,,,,,,,,,,,,
HVY133,HVY,Goblet of Bloodrun Wine,3,0,,2,,,"Warrior, Action",Go again,,,,,,"Create an Agility and a Vigor token.

**Go again**",Warrior Action,,,,,C,,,Ausonia,,/HVY133.png,,,,,,,,,,,,
"HVY134, FAB191","HVY, FAB",Cintari Sellsword,,,3,,2,,"Warrior, Token, Mercenary, Ally",,Once per Turn Action,"Attack, Go again",,,,"**Once per Turn Action** - {r}: **Attack**. **Go again**

Cintari Sellsword can only attack if you've attacked with a weapon this turn.",Warrior Token - Mercenary Ally,,,,,T,S,,Sebastian Szmyd,,/HVY134.png,P,C,EA,Sebastian Szmyd,,/FAB191.png,,,,,,
HVY135,HVY,Gauntlet of Might,,,,1,,,"Brute, Guardian, Equipment, Arms","Go again, Blade Break",,,,,,"Action - Destroy this: Create a Might token. **Go again**

**Blade Break**",Brute / Guardian Equipment - Arms,,,,,C,,,Alifka Hammam Nugroho,,https://storage.googleapis.com/fabmaster/cardfaces/2023-HVY/EN/HVY135.png,,,,,,,,,,,,
HVY136,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY137,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY138,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY139,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY140,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY141,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY142,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY143,HVY,Mighty Windup,1,3,7,2,,,"Brute, Guardian, Action, Attack",,Instant,,,,,**Instant** - Discard this: Create a Might token.,Brute / Guardian Action - Attack,,,,,C,,,Federico Musetti,,/HVY143.png,,,,,,,,,,,,
HVY144,HVY,Mighty Windup,2,3,6,2,,,"Brute, Guardian, Action, Attack",,Instant,,,,,**Instant** - Discard this: Create a Might token.,Brute / Guardian Action - Attack,,,,,C,,,Federico Musetti,,/HVY144.png,,,,,,,,,,,,
HVY145,HVY,Mighty Windup,3,3,5,2,,,"Brute, Guardian, Action, Attack",,Instant,,,,,**Instant** - Discard this: Create a Might token.,Brute / Guardian Action - Attack,,,,,C,,,Federico Musetti,,/HVY145.png,,,,,,,,,,,,
HVY146,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY147,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY148,HVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVY149,HVY,Wage Might,1,3,7,2,,,"Brute, Guardian, Action, Attack",Wager,,,,,,"When this attacks a hero, you may **wager** a Might token with them.",Brute / Guardian Action - Attack,,,,,C,,,Septimius Ferdian,,/HVY149.png,,,,,,,,,,,,
