Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,Silver Age Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Artists 3,Expansion Slot 3,Flavor Text 3,Identifier 3,Image URL 3,Rarity 4,Foiling 4,Art Variations 4,Artists 4,Expansion Slot 4,Flavor Text 4,Identifier 4,Image URL 4,Rarity 5,Foiling 5,Art Variations 5,Artists 5,Expansion Slot 5,Flavor Text 5,Identifier 5,Image URL 5,,,Rarity 6,Foiling 6,Art Variations 6,Artists 6,Expansion Slot 6,Flavor Text 6,Identifier 6,Image URL 6
ANQ019,ANQ,Call to the Grave,Blue,3,,,,,,,,,,,,,,,,,,,,,No,,P,,,,,,ANQ019,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ019.png,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ020,ANQ,Gorganian Tome,,,,,,,,,,,,,,,,,,,,,,,No,,P,,,,,,ANQ020,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ020.png,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ021,ANQ,Midas Touch,Yellow,2,,,,,,,,,,,,,,,,,,,,,No,,P,,,,,,ANQ021,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ021.png,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ022,ANQ,Premeditate,Red,1,,,,,,,,,,,,,,,,,,,,,No,,P,,,,,,ANQ022,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ022.png,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ023,ANQ,Rusted Relic,Blue,3,,,,,,,,,,,,,,,,,,,,,No,,P,,,,,,ANQ023,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ023.png,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ024,ANQ,This Round's on Me,Blue,3,,,,,,,,,,,,,,,,,,,,,No,,P,,,,,,ANQ024,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ024.png,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ025,ANQ,Truce,Blue,3,,,,,,,,,,,,,,,,,,,,,No,,P,,,,,,ANQ025,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ025.png,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ026,ANQ,Remembrance,Yellow,2,,,,,,,,,,,,,,,,,,,,,No,,P,,,,,,ANQ026,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ026.png,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ027,ANQ,Seduce Secrets,Yellow,2,,,,,,,,,,,,,,,,,,,,,No,,P,,,,,,ANQ027,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ027.png,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ028,ANQ,Looking for a Scrap,Red,1,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,ANQ028,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ028.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ029,ANQ,Ravenous Rabble,Red,1,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,ANQ029,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ029.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ030,ANQ,Scar for a Scar,Red,1,,,,,,,,,,,,,,,,,,,,,,,P,,,Arif Wijaya,,,ANQ030,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ030.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ031,ANQ,Snatch,Red,1,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,ANQ031,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ031.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ032,ANQ,Pummel,Red,1,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,ANQ032,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ032.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ033,ANQ,Fate Foreseen,Red,1,,,,,,,,,,,,,,,,,,,,,No,,P,,,,,,ANQ033,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ033.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ034,ANQ,Sink Below,Red,1,,,,,,,,,,,,,,,,,,,,,No,,P,,,,,,ANQ034,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ034.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ035,ANQ,Oasis Respite,Red,1,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,ANQ035,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ035.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ036,ANQ,Sigil of Solace,Red,1,,,,,,,,,,,,,,,,,,,,,No,,P,,,,,,ANQ036,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ036.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANQ037,ANQ,Fiddler's Green,Red,1,,,,,,,,,,,,,,,,,,,,,No,,P,,,,,,ANQ037,https://storage.googleapis.com/fabmaster/cardfaces/2026-ANQ/EN/ANQ037.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
