Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Artists 3,Expansion Slot 3,Flavor Text 3,Identifier 3,Image URL 3,TCGPlayer Product Id 3,TCGPlayer Url 3,Rarity 4,Foiling 4,Art Variations 4,Expansion Slot 4,Artists 4,Flavor Text 4,Identifier 4,Image URL 4,TCGPlayer Product Id 4,TCGPlayer Url 4,Rarity 5,Foiling 5,Art Variations 5,Artists 5,Flavor Text 5,Identifier 5,Image URL 5,TCGPlayer Product Id 5,TCGPlayer Url 5
MPG011,MPG,Steelbraid Buckler,,,,,,,,,,,,,,,,,,,,,,,,C,,,Peyeyo,,,MPG011,/MPG011.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG012,MPG,Tremor of Resistance,,,,,0,,,,"Guardian, Equipment, Off-Hand",,Blade Break,,,,,,"If you control a Seismic Surge token, this gets +2{d}.

**Blade Break**",Guardian Equipment - Off-Hand,,,,,,C,,,Henrique Lindner,,,MPG012,/MPG012.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG013,MPG,Ley Line of the Old Ones,Blue,3,0,,,,,,"Guardian, Instant, Aura",,Legendary,,,,,,"**Legendary**

When this enters the arena and whenever you deal damage, create a Seismic Surge token. At the beginning of your end phase, if you control no Seismic Surge tokens, destroy this.",Guardian Instant - Aura,,,,No,,L,R,,Simon Dominic,,,MPG013,/MPG013.png,,,V,C,FA,Simon Dominic,,,MPG013,/MPG013_V2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG014,MPG,Break Stature,Yellow,2,5,8,3,,,,"Guardian, Action, Attack",,Clash,,,,,,"**Crush** - When this deals 4 or more damage to a hero, destroy an aura token they control. They can't create auras with that token's name until the end of their next turn.",Guardian Action - Attack,,,,No,,M,,,Federico Musetti,,"""Far be it from us to break with tradition."" - Fai",MPG014,/MPG014.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG015,MPG,Clash of Bravado,Yellow,2,4,7,3,,,,"Guardian, Action, Attack",,Clash,,,,,,"When this defends, **clash** with the attacking hero. The winner destroys an aura the other hero controls.",Guardian Action - Attack,,,,No,,M,,,Edward Chee,,,MPG015,/MPG015.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG016,MPG,Headbutt,Blue,3,4,6,3,,,,"Guardian, Action, Attack",,Crush,,,,,,"This can't be defended by non-head equipment.

If you have a head equipped and the defending hero doesn't, this gets +1{p}.

**Crush** - When this deals 4 or more damage to a hero, put a -1{d} counter on a head they have equipped, then if it has 0{d}, destroy it.",Guardian Action - Attack,,,,No,,M,,,Esty Swandana,,,MPG016,/MPG016.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG017,MPG,Pec Perfect,Red,1,5,9,3,,,,"Guardian, Action, Attack",,Clash,,,,,,"Whenever a card defends this, **clash** with the defending hero. The winner destroys the top card of the other hero's deck.",Guardian Action - Attack,,,,No,,M,,,Tomasz Jedruszek,,,MPG017,/MPG017.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG018,MPG,Put 'Em In Their Place,Red,1,6,10,3,,,,"Guardian, Action, Attack",,"Valda Specialization, Crush",,,,,,"**Valda Specialization**

**Crush** - When this deals 4 or more damage to a hero, they discard their hand, then they draw that many cards.",Guardian Action - Attack,,,,No,,M,,,Fajareka Setiawan,,,MPG018,/MPG018.png,,,M,R,,Fajareka Setiawan,,,MPG018,/MPG018.png,,,M,R,EA,Fajareka Setiawan,,,MPG018,/MPG018-EA.png,,,,,,,,,,,,,,,,,,,,,
MPG019,MPG,Solid Ground,Blue,3,3,,5,,,,"Guardian, Defense Reaction",,,,,,,,This costs {r} less to play for each Seismic Surge you control.,Guardian Defense Reaction,,,,No,,M,,,Sebastian Szmyd,,,MPG019,/MPG019.png,,,M,R,,Sebastian Szmyd,,,MPG019,/MPG019.png,,,M,R,EA,Sebastian Szmyd,,,MPG019,/MPG019-EA.png,,,,,,,,,,,,,,,,,,,,,
MPG020,MPG,Leave a Dent,Blue,3,0,,3,,,,"Guardian, Action",,Go again,,,Crush,,,"Your next Guardian attack this turn gets ""**Crush** - When this deals 4 or more damage to a hero, destroy the top 4 cards of their deck.""

**Go again**",Guardian Action,,,,No,,M,,,Carlos Cruchaga,,,MPG020,/MPG020.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG021,MPG,Visit Anvilheim,Blue,3,X,,3,,,,"Guardian, Action",,,,,,,,Remove X -1{d} counters from a Guardian off-hand you have equipped.,Guardian Action,,,,No,,M,,,Tomasz Jedruszek,,"Memory dulls and dims with age, yet still no metal whets sharper nor polishes brighter than Anvilheim steel.",MPG021,/MPG021.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG022,MPG,Daily Grind,Blue,3,0,,3,,,,"Guardian, Action, Aura",,,,,Clash,,,"Attack action cards you control get ""When this defends, **clash** with the attacking hero. The winner destroys the top card of the other hero's deck.""

At the start of your turn, destroy this.",Guardian Action - Aura,,,,No,,M,,,Sebastian Giacobino,,,MPG022,/MPG022.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG023,MPG,Seismic Shelter,Blue,3,0,,3,,,,"Guardian, Action, Aura",,Go again,,,,,,"**Go again**

Attack action cards you control get +X{d} while defending, where X is the number of Seismic Surge tokens you control.

At the start of your turn, destroy this.",Guardian Action - Aura,,,,No,,M,,,Septimius Ferdian,,,MPG023,/MPG023.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG024,MPG,Seismic Eruption,Yellow,2,0,,,,,,"Guardian, Instant",,,,,,,,Create 3 Seismic Surge tokens.,Guardian Instant,,,,No,,M,,,Carlos Cruchaga,,,MPG024,/MPG024.png,,,M,R,,Carlos Cruchaga,,,MPG024,/MPG024.png,,,M,R,EA,Carlos Cruchaga,,,MPG024,/MPG024-EA.png,,,,,,,,,,,,,,,,,,,,,
MPG025,MPG,Test of Iron Grip,Red,1,,,4,,,,"Guardian, Block",,Clash,,,,,,"When this defends, **clash** with the attacking hero. If there is a winner, the other hero discards a card.",Guardian Block,,,,No,,M,,,Tomasz Jedruszek,,,MPG025,/MPG025.png,,,M,R,EA,Tomasz Jedruszek,,,MPG025,/MPG025_V2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG026,MPG,Blinding of the Old Ones,Red,1,6,10,3,,,,"Guardian, Action, Attack",,"Crush, Heave 2",,,,,,"**Crush** - When this deals 4 or more damage to a Guardian hero, cards they own lose all abilities during their next turn.

**Heave 2**",Guardian Action - Attack,,,,No,,R,,,Federico Musetti,,,MPG026,/MPG026.png,,,R,R,,Federico Musetti,,,MPG026,/MPG026.png,,,V,C,FA,Federico Musetti,,,MPG026,/MPG026_V2.png,,,,,,,,,,,,,,,,,,,,,
MPG027,MPG,Disenchantment of the Old Ones,Red,1,6,10,3,,,,"Guardian, Action, Attack",,"Crush, Heave 2",,,,,,"**Crush** - When this deals 4 or more damage to a Guardian hero, destroy all auras they control.

**Heave 2**",Guardian Action - Attack,,,,No,,R,,,Narendra B Adi,,,MPG027,/MPG027.png,,,R,R,,Narendra B Adi,,,MPG027,/MPG027.png,,,V,C,FA,Narendra B Adi,,,MPG027,/MPG027_V2.png,,,,,,,,,,,,,,,,,,,,,
MPG028,MPG,Smelting of the Old Ones,Red,1,6,10,3,,,,"Guardian, Action, Attack",,"Crush, Heave 2",,,,,,"**Crush** - When this deals 4 or more damage to a Guardian hero, destroy all equipment they control with -1{d} counters.

**Heave 2**",Guardian Action - Attack,,,,No,,R,,,Simon Dominic,,,MPG028,/MPG028.png,,,R,R,,Simon Dominic,,,MPG028,/MPG028.png,,,V,C,FA,Simon Dominic,,,MPG028,/MPG028_V2.png,,,,,,,,,,,,,,,,,,,,,
MPG029,MPG,Annexation of All Things Known,Yellow,2,5,8,3,,,,"Guardian, Action, Attack",,Crush,,,,,,"**Crush** - When this deals 4 or more damage to a Guardian hero, until the end of your next turn, they can't play face-up cards from arsenal, and you may play face-up cards from their arsenal.",Guardian Action - Attack,,,,No,,R,,,Thomas Ressuge,,"""To protect the soul, one must guard the mind."" - Archangel Aegis",MPG029,/MPG029.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG030,MPG,Annexation of Grandeur,Yellow,2,5,8,3,,,,"Guardian, Action, Attack",,Crush,,,,,,"**Crush** - When this deals 4 or more damage to a Guardian hero, gain control of an aura they control.",Guardian Action - Attack,,,,No,,R,,,Thomas Ressuge,,,MPG030,/MPG030.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG031,MPG,Annexation of the Forge,Yellow,2,5,8,3,,,,"Guardian, Action, Attack",,Crush,,,,,,"**Crush** - When this deals 4 or more damage to a Guardian hero, equip an equipment they have equipped.",Guardian Action - Attack,,,,No,,R,,,Thomas Ressuge,,,MPG031,/MPG031.png,,,R,R,EA,Thomas Ressuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MPG032, FAB328","MPG, FAB",Fault Line,Red,1,3,7,3,,,,"Guardian, Action, Attack",,Crush,,,,,,"If you have a card in your arsenal, this gets +1{p}.

**Crush** - When this deals 4 or more damage to a hero, put all cards in all arsenals on bottom of their owner's deck.",Guardian Action - Attack,,,,No,,R,,,Ramza Ardyputra,,,MPG032,/MPG032.png,,,P,R,EA,Ramza Ardyputra,,,FAB328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MPG033, FAB329","MPG, FAB",Hostile Encroachment,Red,1,3,8,3,,,,"Guardian, Action, Attack",,Crush,,,,,,"When this attacks a hero, they draw a card.

**Crush** - When this deals 4 or more damage to a hero, they discard a card.",Guardian Action - Attack,,,,No,,R,,,Ausonia,,,MPG033,/MPG033.png,,,P,R,EA,Ausonia,,,FAB329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MPG034, FAB330","MPG, FAB",Renounce Grandeur,Red,1,3,7,3,,,,"Guardian, Action, Attack",,Crush,,,,,,"If the defending hero controls an aura token, this gets +1{p}.

**Crush** - When this deals 4 or more damage to a hero, they can't create aura tokens during their next turn.",Guardian Action - Attack,,,,No,,R,,,Mario Wibisono,,,MPG034,/MPG034.png,,,P,R,EA,Mario Wibisono,,,FAB330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG035,MPG,Aftershock,Red,1,4,8,3,,,,"Guardian, Action, Attack",,,,,,,,"When this attacks, if you've controlled a Seismic Surge token this turn, create a Seismic Surge token.",Guardian Action - Attack,,,,No,,R,,,Nathaniel Himawan,,,MPG035,/MPG035.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG036,MPG,Aftershock,Yellow,2,4,7,3,,,,"Guardian, Action, Attack",,,,,,,,"When this attacks, if you've controlled a Seismic Surge token this turn, create a Seismic Surge token.",Guardian Action - Attack,,,,No,,R,,,Nathaniel Himawan,,,MPG036,/MPG036.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG037,MPG,Aftershock,Blue,3,4,6,3,,,,"Guardian, Action, Attack",,,,,,,,"When this attacks, if you've controlled a Seismic Surge token this turn, create a Seismic Surge token.",Guardian Action - Attack,,,,No,,R,,,Nathaniel Himawan,,,MPG037,/MPG037.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG038,MPG,Little Big Foot,Red,1,4,5,3,,,,"Guardian, Action, Attack",,,,,,,,"If there are two or more cards with cost 3 or more in your pitch zone, this gets +6{p}.",Guardian Action - Attack,,,,No,,R,,,Kevin Sidharta,,,MPG038,/MPG038.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG039,MPG,Little Big Foot,Yellow,2,4,4,3,,,,"Guardian, Action, Attack",,,,,,,,"If there are two or more cards with cost 3 or more in your pitch zone, this gets +5{p}.",Guardian Action - Attack,,,,No,,R,,,Kevin Sidharta,,,MPG039,/MPG039.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG040,MPG,Little Big Foot,Blue,3,4,3,3,,,,"Guardian, Action, Attack",,,,,,,,"If there are two or more cards with cost 3 or more in your pitch zone, this gets +4{p}.",Guardian Action - Attack,,,,No,,R,,,Kevin Sidharta,,"""I swear this story gets taller with every telling."" - Valda",MPG040,/MPG040.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG041,MPG,Macho Grande,Red,1,,,,,,,,,,,,,,,,,,,,,,R,,,Marco Wulfr,,,MPG041,/MPG041.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG042,MPG,Macho Grande,Yellow,2,,,,,,,,,,,,,,,,,,,,,,R,,,Marco Wulfr,,,MPG042,/MPG042.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG043,MPG,Macho Grande,Blue,3,,,,,,,,,,,,,,,,,,,,,,R,,,Marco Wulfr,,,MPG043,/MPG043.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG044,MPG,Draw a Crowd,Blue,3,2,,3,,,,"Guardian, Action, Aura",,Go again,,,,,,"**Go again**

When this enters the arena, each hero draws a card.

At the beginning of your action phase, destroy this, then the next Guardian attack action card you play this turn gets +3{p}.",Guardian Action - Aura,,,,No,,R,S,,Rio Sabda,,,MPG044,/MPG044.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG045,MPG,Promising Terrain,Blue,3,0,,3,,,,"Guardian, Action, Aura",,Go again,,,,,,"**Go again**

If you would create 1 or more Seismic Surge tokens, instead create that many plus 1.

At the beginning of your action phase, destroy this, then if you control 3 or more Seismic Surge tokens, draw a card and gain 1{h}.",Guardian Action - Aura,,,,No,,R,S,,Simon Wong,,,MPG045,/MPG045.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG046,MPG,Tectonic Instability,Blue,3,0,,3,,,,"Guardian, Action",,Go again,,,,,,"Each hero puts a card from their arsenal on the bottom of their deck. If they do, they draw a card.

Create Seismic Surge tokens equal to the number of cards drawn this way.

**Go again**",Guardian Action,,,,No,,R,,,Reza Afshar,,,MPG046,/MPG046.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG047,MPG,Clash of Heads,Yellow,2,,,4,,,,"Guardian, Block",,Clash,,,,,,"When this defends a Guardian attack, **clash** with the attacking hero. If there is a winner, the other hero puts a -1{d} counter on a head they have equipped. If they don't, they lose 1{h}.",Guardian Block,,,,No,,R,,,Edward Chee,,,MPG047,/MPG047.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG048,MPG,Clash of Chests,Yellow,2,,,4,,,,"Guardian, Block",,Clash,,,,,,"When this defends a Guardian attack, **clash** with the attacking hero. If there is a winner, the other hero puts a -1{d} counter on a chest they have equipped. If they don't, they lose 1{h}.",Guardian Block,,,,No,,R,,,Jessada Sutthi,,,MPG048,/MPG048.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG049,MPG,Clash of Arms,Yellow,2,,,4,,,,"Guardian, Block",,Clash,,,,,,"When this defends a Guardian attack, **clash** with the attacking hero. If there is a winner, the other hero puts a -1{d} counter on an arms they have equipped. If they don't, they lose 1{h}.",Guardian Block,,,,No,,R,,,Joseph Qiu,,,MPG049,/MPG049.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG050,MPG,Clash of Legs,Yellow,2,,,4,,,,"Guardian, Block",,Clash,,,,,,"When this defends a Guardian attack, **clash** with the attacking hero. If there is a winner, the other hero puts a -1{d} counter on a legs they have equipped. If they don't, they lose 1{h}.",Guardian Block,,,,No,,R,,,Carlos Cruchaga,,,MPG050,/MPG050.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG051,MPG,Clash of Shields,Yellow,2,,,4,,,,"Guardian, Block",,Clash,,,,,,"When this defends a Guardian attack, **clash** with the attacking hero. If there is a winner, the other hero puts a -1{d} counter on an off-hand they have equipped. If they don't, they lose 1{h}.",Guardian Block,,,,No,,R,,,Saad Irfan,,,MPG051,/MPG051.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG052,MPG,Buckling Blow,Red,1,,,,,,,,,,,,,,,"**Crush** - When this deals 4 or more damage to a hero, put a -1{d} counter on an equipment they control.",,,,,,,,,,,,,MPG052,/MPG052.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG053,MPG,Buckling Blow,Yellow,2,,,,,,,,,,,,,,,"**Crush** - When this deals 4 or more damage to a hero, put a -1{d} counter on an equipment they control.",,,,,,,,,,,,,MPG053,/MPG053.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG054,MPG,Buckling Blow,Blue,3,,,,,,,,,,,,,,,"**Crush** - When this deals 4 or more damage to a hero, put a -1{d} counter on an equipment they control.",,,,,,,,,,,,,MPG054,/MPG054.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG055,MPG,Cartilage Crush,Red,1,,,,,,,,,,,,,,,"**Crush** - When this deals 4 or more damage to a hero, their first action during their next turn costs an additional {r} to play or activate.",,,,,,,,,,,,,MPG055,/MPG055.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG056,MPG,Cartilage Crush,Yellow,2,,,,,,,,,,,,,,,"**Crush** - When this deals 4 or more damage to a hero, their first action during their next turn costs an additional {r} to play or activate.",,,,,,,,,,,,,MPG056,/MPG056.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG057,MPG,Cartilage Crush,Blue,3,,,,,,,,,,,,,,,"**Crush** - When this deals 4 or more damage to a hero, their first action during their next turn costs an additional {r} to play or activate.",,,,,,,,,,,,,MPG057,/MPG057.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG058,MPG,Chokeslam,Red,1,,,,,,,,,,,,,,,"**Crush** - When this deals 4 or more damage to a hero, attack action cards they control can't gain {p} during their next action phase.",,,,,,,,,,,,,MPG058,/MPG058.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG059,MPG,Chokeslam,Yellow,2,,,,,,,,,,,,,,,"**Crush** - When this deals 4 or more damage to a hero, attack action cards they control can't gain {p} during their next action phase.",,,,,,,,,,,,,MPG059,/MPG059.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG060,MPG,Chokeslam,Blue,3,,,,,,,,,,,,,,,"**Crush** - When this deals 4 or more damage to a hero, attack action cards they control can't gain {p} during their next action phase.",,,,,,,,,,,,,MPG060,/MPG060.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG061,MPG,Clash of Mountains,Red,1,4,8,3,,,,"Guardian, Action, Attack",,Clash,,,,,,"When this defends a Guardian attack, **clash** with the attacking hero. The winner creates a Seismic Surge token.",Guardian Action - Attack,,,,,,C,,,Tomasz Jedruszek,,,MPG061,/MPG061.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG062,MPG,Clash of Mountains,Yellow,2,4,7,3,,,,"Guardian, Action, Attack",,Clash,,,,,,"When this defends a Guardian attack, **clash** with the attacking hero. The winner creates a Seismic Surge token.",Guardian Action - Attack,,,,,,C,,,Tomasz Jedruszek,,,MPG062,/MPG062.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG063,MPG,Clash of Mountains,Blue,3,4,6,3,,,,"Guardian, Action, Attack",,Clash,,,,,,"When this defends a Guardian attack, **clash** with the attacking hero. The winner creates a Seismic Surge token.",Guardian Action - Attack,,,,,,C,,,Tomasz Jedruszek,,,MPG063,/MPG063.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG064,MPG,Crush Confidence,Red,1,,,,,,,,,,,,,,,"**Crush** - When this deals 4 or more damage to a hero, they lose all hero card abilities until the end of their next turn.",,,,,,,,,,,,,MPG064,/MPG064.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG065,MPG,Crush Confidence,Yellow,2,,,,,,,,,,,,,,,"**Crush** - When this deals 4 or more damage to a hero, they lose all hero card abilities until the end of their next turn.",,,,,,,,,,,,,MPG065,/MPG065.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG066,MPG,Crush Confidence,Blue,3,,,,,,,,,,,,,,,"**Crush** - When this deals 4 or more damage to a hero, they lose all hero card abilities until the end of their next turn.",,,,,,,,,,,,,MPG066,/MPG066.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG067,MPG,Crush the Weak,Red,1,,,,,,,,,,,,,,,"**Crush** - When this deals 4 or more damage to a hero, they can't play attack action cards with 3 or less base {p} during their next action phase.",,,,,,,,,,,,,MPG067,/MPG067.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG068,MPG,Crush the Weak,Yellow,2,,,,,,,,,,,,,,,"**Crush** - When this deals 4 or more damage to a hero, they can't play attack action cards with 3 or less base {p} during their next action phase.",,,,,,,,,,,,,MPG068,/MPG068.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
