Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,CC Legal,Silver Age Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Artists 3,Expansion Slot 3,Flavor Text 3,Identifier 3,Image URL 3,Rarity 4,Foiling 4,Art Variations 4,Artists 4,Expansion Slot 4,Flavor Text 4,Identifier 4,Image URL 4,Rarity 5,Foiling 5,Art Variations 5,Artists 5,Expansion Slot 5,Flavor Text 5,Identifier 5,Image URL 5,,,Rarity 6,Foiling 6,Art Variations 6,Artists 6,Expansion Slot 6,Flavor Text 6,Identifier 6,Image URL 6
GEM194,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM194,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM194.webp,,,,,,,,,GEM194,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM194.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM195,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM195,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM195.webp,,,,,,,,,GEM195,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM195.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM196,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM196,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM196.webp,,,,,,,,,GEM196,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM196.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM197,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM197,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM197.webp,,,,,,,,,GEM197,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM197.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM198,"GEM,IAR",Ominous Toll,Red,1,0,3,2,,,,"Shadow, Necromancer, Action, Attack",,Go again,,,,,,"When this attacks, you may discard a zombie. If you do, create a Gate to i'Arathael token.

**Go again**",Shadow Necromancer Action - Attack,,,,,P,R,EA,Jefrey Yonathan,,,GEM198,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM198-RF.webp,,,P,,EA,Jefrey Yonathan,,,GEM198,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM198.webp,,,,,,Jefrey Yonathan,,,GEM198,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM198.webp,,,,Jefrey Yonathan,,,GEM198,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM198.webp,,,,Jefrey Yonathan,,,GEM198,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM198.webp,,,,Jefrey Yonathan,,,GEM198,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM198.webp,,
GEM199,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM199,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM199.webp,,,,,,,,,GEM199,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM199.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM200,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM200,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM200.webp,,,,,,,,,GEM200,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM200.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM201,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM201,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM201.webp,,,,,,,,,GEM201,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM201.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM202,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM202,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM202.webp,,,,,,,,,GEM202,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM202.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM203,"GEM,IAR",Embrace Ursur,Red,1,1,3,3,,,,"Shadow, Runeblade, Action, Attack",,Go again,,,,,,"When this attacks, you may banish a card from your hand. If it's Runeblade, create a Runechant token. If it's Shadow, this gets **go again**.",Shadow Runeblade Action - Attack,,,,,P,R,EA,Alif Zahrah,,,GEM203,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM203-RF.webp,,,P,,EA,Alif Zahrah,,,GEM203,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM203.webp,,,,,,Alif Zahrah,,,GEM203,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM203.webp,,,,Alif Zahrah,,,GEM203,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM203.webp,,,,Alif Zahrah,,,GEM203,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM203.webp,,,,Alif Zahrah,,,GEM203,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM203.webp,,
GEM204,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM204,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM204.webp,,,,,,,,,GEM204,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM204.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM205,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM205,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM205.webp,,,,,,,,,GEM205,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM205.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM206,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM206,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM206.webp,,,,,,,,,GEM206,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM206.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM207,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM207,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM207.webp,,,,,,,,,GEM207,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM207.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM208,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM208,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM208.webp,,,,,,,,,GEM208,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM208.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM209,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM209,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM209.webp,,,,,,,,,GEM209,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM209.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM210,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM210,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM210.webp,,,,,,,,,GEM210,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM210.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM211,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM211,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM211.webp,,,,,,,,,GEM211,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM211.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM212,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM212,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM212.webp,,,,,,,,,GEM212,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM212.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM213,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM213,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM213.webp,,,,,,,,,GEM213,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM213.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM214,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM214,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM214.webp,,,,,,,,,GEM214,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM214.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM215,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM215,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM215.webp,,,,,,,,,GEM215,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM215.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM216,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM216,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM216.webp,,,,,,,,,GEM216,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM216.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM217,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM217,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM217.webp,,,,,,,,,GEM217,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM217.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM218,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM218,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM218.webp,,,,,,,,,GEM218,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM218.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM219,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM219,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM219.webp,,,,,,,,,GEM219,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM219.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM220,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM220,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM220.webp,,,,,,,,,GEM220,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM220.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM221,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM221,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM221.webp,,,,,,,,,GEM221,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM221.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM222,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM222,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM222.webp,,,,,,,,,GEM222,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM222.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM223,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM223,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM223.webp,,,,,,,,,GEM223,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM223.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM224,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM224,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM224.webp,,,,,,,,,GEM224,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM224.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM225,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM225,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM225.webp,,,,,,,,,GEM225,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM225.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM226,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM226,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM226.webp,,,,,,,,,GEM226,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM226.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM227,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM227,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM227.webp,,,,,,,,,GEM227,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM227.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM228,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM228,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM228.webp,,,,,,,,,GEM228,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM228.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM229,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM229,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM229.webp,,,,,,,,,GEM229,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM229.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM230,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM230,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM230.webp,,,,,,,,,GEM230,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM230.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM231,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM231,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM231.webp,,,,,,,,,GEM231,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM231.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM232,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM232,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM232.webp,,,,,,,,,GEM232,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM232.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM233,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM233,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM233.webp,,,,,,,,,GEM233,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM233.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM234,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM234,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM234.webp,,,,,,,,,GEM234,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM234.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM235,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM235,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM235.webp,,,,,,,,,GEM235,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM235.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM236,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM236,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM236.webp,,,,,,,,,GEM236,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM236.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM237,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM237,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM237.webp,,,,,,,,,GEM237,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM237.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM238,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM238,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM238.webp,,,,,,,,,GEM238,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM238.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM239,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM239,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM239.webp,,,,,,,,,GEM239,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM239.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM240,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM240,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM240.webp,,,,,,,,,GEM240,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM240.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM241,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM241,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM241.webp,,,,,,,,,GEM241,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM241.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM242,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM242,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM242.webp,,,,,,,,,GEM242,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM242.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM243,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM243,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM243.webp,,,,,,,,,GEM243,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM243.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM244,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM244,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM244.webp,,,,,,,,,GEM244,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM244.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM245,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM245,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM245.webp,,,,,,,,,GEM245,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM245.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM246,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM246,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM246.webp,,,,,,,,,GEM246,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM246.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM247,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM247,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM247.webp,,,,,,,,,GEM247,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM247.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM248,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM248,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM248.webp,,,,,,,,,GEM248,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM248.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM249,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM249,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM249.webp,,,,,,,,,GEM249,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM249.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM250,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM250,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM250.webp,,,,,,,,,GEM250,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM250.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM251,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM251,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM251.webp,,,,,,,,,GEM251,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM251.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM252,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM252,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM252.webp,,,,,,,,,GEM252,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM252.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEM253,GEM,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,GEM253,https://legendstory-production-s3-public.s3.amazonaws.com/media/cards/large/GEM253.webp,,,,,,,,,GEM253,https://storage.googleapis.com/fabmaster/cardfaces/GEM/GEM253.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
