Identifiers,Set Identifiers,Name,Pitch,Cost,Power,Defense,Life,Intelligence,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,Rarity,Foiling,Art Variation,Artist,Flavor Text,Image URL,Rarity 2,Foiling 2,Art Variation 2,Artist 2,Flavor Text 2,Image URL 2
EVO014,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO015,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO016,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO017,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LGS186, EVO018","LGS, EVO",Teklo Base Head,,,,1,,,"Mechanologist, Equipment, Base, Head",Blade Break,,,,,,**Blade Break**,Mechanologist Equipment - Base Head,,,,,P,C,,Alief Rusdiatama,,https://dhhim4ltzu1pj.cloudfront.net/media/images/LGS186.width-450.format-webp.webp,C,,,Alief Rusdiatama,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO018.png
"LGS187, EVO019","LGS, EVO",Teklo Base Chest,,,,1,,,"Mechanologist, Equipment, Base, Chest",Blade Break,,,,,,**Blade Break**,Mechanologist Equipment - Base Chest,,,,,P,C,,Septimius Ferdian,,https://dhhim4ltzu1pj.cloudfront.net/media/images/LGS187.width-450.format-webp.webp,C,,,Septimius Ferdian,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO019.png
"LGS188, EVO020","LGS, EVO",Teklo Base Arms,,,,1,,,"Mechanologist, Equipment, Base, Arms",Blade Break,,,,,,**Blade Break**,Mechanologist Equipment - Base Arms,,,,,P,C,,Lizhe Liang,,https://dhhim4ltzu1pj.cloudfront.net/media/images/LGS188.width-450.format-webp.webp,C,,,Lizhe Liang,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO020.png
"LGS189, EVO021","LGS, EVO",Teklo Base Legs,,,,1,,,"Mechanologist, Equipment, Base, Legs",Blade Break,,,,,,**Blade Break**,Mechanologist Equipment - Base Legs,,,,,P,C,,Erick Efata,,https://dhhim4ltzu1pj.cloudfront.net/media/images/LGS189.width-450.format-webp.webp,C,,,Erick Efata,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO021.png
EVO022,EVO,Proto Base Head,,,,,,,"Mechanologist, Equipment, Base, Head",,,,,,,,Mechanologist Equipment - Base Head,,,,,T,S,,Vlad Tashkinov,,https://dhhim4ltzu1pj.cloudfront.net/media/images/EVO022.width-450.format-webp.webp,,,,,,
EVO023,EVO,Proto Base Chest,,,,,,,"Mechanologist, Equipment, Base, Chest",,,,,,,,Mechanologist Equipment - Base Chest,,,,,T,S,,Dmitriy Semyonov,,https://dhhim4ltzu1pj.cloudfront.net/media/images/EVO023.width-450.format-webp.webp,,,,,,
EVO024,EVO,Proto Base Arms,,,,,,,"Mechanologist, Equipment, Base, Arms",,,,,,,,Mechanologist Equipment - Base Arms,,,,,T,S,,Grigoriy Parshakov,,https://dhhim4ltzu1pj.cloudfront.net/media/images/EVO024.width-450.format-webp.webp,,,,,,
EVO025,EVO,Proto Base Legs,,,,,,,"Mechanologist, Equipment, Base, Legs",,,,,,,,Mechanologist Equipment - Base Legs,,,,,T,S,,Revazashvili E.,,https://dhhim4ltzu1pj.cloudfront.net/media/images/EVO025.width-450.format-webp.webp,,,,,,
EVO026,EVO,Evo Steel Soul Memory,3,4,,3,,,"Mechanologist, Action, Equipment, Evo, Base, Head","Transform, Temper",,,,,,"If you have a base head equipped, **transform** it into this, then equip this.

When this **transforms** from or into an Evo with a different name, your hero gets +1{i} until end of turn. If that Evo is a hero, instead this triggers twice.

**Temper**",Mechanologist Action Equipment - Evo Base Head,,,,No,V,C,,Kimberly Pantoni,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO026_V2.png,M,,,Kimberly Pantoni,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO026.png
EVO027,EVO,Evo Steel Soul Processor,3,4,,3,,,"Mechanologist, Action, Equipment, Evo, Base, Chest","Transform, Temper",,,,,,"If you have a base chest equipped, **transform** it into this, then equip this.

When this **transforms** from or into an Evo with a different name, gain {r}{r}{r}. If that Evo is a hero, instead this triggers twice.

**Temper**",Mechanologist Action Equipment - Evo Base Chest,,,,No,V,C,,Wisnu Tan,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO027_V2.png,M,,,Wisnu Tan,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO027.png
EVO028,EVO,Evo Steel Soul Controller,3,4,,3,,,"Mechanologist, Action, Equipment, Evo, Base, Arms","Transform, Temper",,,,,,"If you have base arms equipped, **transform** it into this, then equip this.

When this **transforms** from or into an Evo with a different name, you may put an attack action card with 6{p} from your graveyard into your deck fifth from the top. If that Evo is a hero, instead this triggers twice.

**Temper**",Mechanologist Action Equipment - Evo Base Arms,,,,No,V,C,,Wisnu Tan,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO028_V2.png,M,,,Wisnu Tan,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO028.png
EVO029,EVO,Evo Steel Soul Tower,3,4,,3,,,"Mechanologist, Action, Equipment, Evo, Base, Legs","Transform, Temper",,,,,,"If you have a base legs equipped, **transform** it into this, then equip this.

When this **transforms** from or into an Evo with a different name, gain 1 action point. If that Evo is a hero, instead this triggers twice.

**Temper**",Mechanologist Action Equipment - Evo Base Legs,,,,No,V,C,,Kimberly Pantoni,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO029_V2.png,M,,,Kimberly Pantoni,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO029.png
EVO030,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO031,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO032,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO033,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO034,EVO,Evo Command Center,2,3,,3,,,"Mechanologist, Action, Equipment, Evo, Head","Transform, Blade Break",,,,,,"If you have a base head equipped, **transform** it into this, then equip this.

**Once per Turn Instant** - Destroy a card under this: Your next weapon attack this turn gets ""When this hits, draw a card.""
 
**Blade Break**",Mechanologist Action Equipment - Evo Head,,,,No,R,,,Marco González,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO034.png,,,,,,
EVO035,EVO,Evo Engine Room,2,3,,3,,,"Mechanologist, Action, Equipment, Evo, Chest","Transform, Blade Break",,,,,,"If you have a base chest equipped, **transform** it into this, then equip this.

**Once per Turn Instant** - Destroy a card under this: Your next weapon attack this turn costs {r} less to activate.

**Blade Break**",Mechanologist Action Equipment - Evo Chest,,,,No,R,,,Marco González,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO035.png,,,,,,
EVO036,EVO,Evo Smoothbore,2,3,,3,,,"Mechanologist, Action, Equipment, Evo, Arms","Transform, Blade Break",,,,,,"If you have a base arms equipped, **transform** it into this, then equip this.

**Once per Turn Instant** - Destroy a card under this: Your next weapon attack this turn gets +1{p}.

**Blade Break**",Mechanologist Action Equipment - Evo Arms,,,,No,R,,,Marco González,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO036.png,,,,,,
EVO037,EVO,Evo Thruster,2,3,,3,,,"Mechanologist, Action, Equipment, Evo, Legs","Transform, Blade Break",,,,,,"If you have a base legs equipped, **transform** it into this, then equip this.

**Once per Turn Instant** - Destroy a card under this: You may attack an additional time with target weapon this turn.

**Blade Break**",Mechanologist Action Equipment - Evo Legs,,,,No,R,,,Marco González,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO037.png,,,,,,
EVO038,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO039,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO040,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO041,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO042,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO043,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO044,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO045,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO046,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO047,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO048,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO049,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO050,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO051,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO052,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO053,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO054,EVO,Annihilator Engine,1,6,6,3,,,"Mechanologist, Action, Attack",Overpower,,,,,,"If you have 1 or more Evos equipped, this gets ""When this hits a hero, destroy all cards defending this,"" 

- 2 or more, this costs {r}{r}{r} less to play,
- 3 or more, this gets **overpower**,
- 4 or more, this gets +3{p}.",Mechanologist Action - Attack,,,,No,M,,,Isuardi Therianto,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO054.png,M,R,EA,Isuardi Therianto,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO054_EA.png
EVO055,EVO,Terminator Tank,1,6,6,3,,,"Mechanologist, Action, Attack",Overpower,,,,,,"If you have 1 or more Evos equipped, this gets ""When this hits a hero, they discard a card,"" 

- 2 or more, this costs {r}{r}{r} less to play,
- 3 or more, this gets **overpower**,
- 4 or more, this gets +3{p}.",Mechanologist Action - Attack,,,,No,M,,,Simon Dominic,,https://dhhim4ltzu1pj.cloudfront.net/media/images/EVO055.width-450.format-webp.webp,M,R,EA,Simon Dominic,,/EVO055_V2.webp
EVO056,EVO,War Machine,1,6,6,3,,,"Mechanologist, Action, Attack",Overpower,,,,,,"If you have 1 or more Evos equipped, this gets ""When this hits a hero, destroy all cards in their arsenal,"" 

- 2 or more, this costs {r}{r}{r} less to play,
- 3 or more, this gets **overpower**,
- 4 or more, this gets +3{p}.",Mechanologist Action - Attack,,,,No,M,R,EA,Federico Musetti,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO056_EA.png,M,,,Federico Musetti,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO056.png
"FAB174, EVO057","FAB, EVO",Demolition Protocol,1,3,7,3,,,"Mechanologist, Action, Attack",Evo Upgrade,,,,,,"**Evo Upgrade** - When this attacks a hero, remove all steam counters from up to X equipment, items, and/or weapons they control, where X is the number of Evos you have equipped.",Mechanologist Action - Attack,,,,,P,R,EA,Carlos Cruchaga,,/FAB174.webp,M,,,Carlos Cruchaga,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO057.png
"FAB173, EVO058","FAB, EVO",Pulsewave Protocol,2,3,6,3,,,"Mechanologist, Action, Attack",Evo Upgrade,,,,,,"**Evo Upgrade** - When this attacks a hero, they reveal X cards from their hand, where X is the number of Evos you have equipped. Choose an action card with {d} less than X, then add it to this chain link as a defending card.",Mechanologist Action - Attack,,,,,P,R,EA,Asur Misoa,,/FAB173.webp,M,,,Asur Misoa,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO058.png
"FAB172, EVO059","FAB, EVO",Meganetic Protocol,3,3,5,3,,,"Mechanologist, Action, Attack",Evo Upgrade,,,,,,"**Evo Upgrade** - The defending hero must defend this with X equipment they control with -1{d} counters if able, where X is the number of Evos you have equipped.",Mechanologist Action - Attack,,,,,P,R,EA,Tanapon Wachirakul,,/FAB172.webp,M,,,Tanapon Wachirakul,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO059.png
EVO060,EVO,Steel Street Enforcement,3,,,1,,,"Mechanologist, Block",Evo Upgrade,,,,,,"**Evo Upgrade** - While this is defending, it gets +X{d} where X is the
 number of Evos you have equipped.",Mechanologist Block,,,,,M,,,Tomasz Jedruszek,"""Stability is the
bedrock of Metrix
city, as peace and
profit go hand in
hand."" - Enforcer Eesha",https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO060.png,,,,,,
"LGS191, EVO061","LGS, EVO",Heavy Artillery,1,3,6,3,,,"Mechanologist, Action, Attack",Evo Upgrade,,,,,,"**Evo Upgrade** - The defending hero can't defend this with attack action cards with cost less than X, where X is the number of Evos you have equipped.",Mechanologist Action - Attack,,,,No,P,R,EA,Tanapon Wachirakul,,https://dhhim4ltzu1pj.cloudfront.net/media/images/LGS191.width-10000.png,R,,,Tanapon Wachirakul,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO061.png
"LGS192, EVO062","LGS, EVO",Heavy Artillery,2,3,5,3,,,"Mechanologist, Action, Attack",Evo Upgrade,,,,,,"**Evo Upgrade** - The defending hero can't defend this with attack action cards with cost less than X, where X is the number of Evos you have equipped.",Mechanologist Action - Attack,,,,No,P,R,EA,Tanapon Wachirakul,,https://dhhim4ltzu1pj.cloudfront.net/media/images/LGS192.width-10000.png,R,,,Tanapon Wachirakul,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO062.png
"LGS193, EVO063","LGS, EVO",Heavy Artillery,3,3,4,3,,,"Mechanologist, Action, Attack",Evo Upgrade,,,,,,"**Evo Upgrade** - The defending hero can't defend this with attack action cards with cost less than X, where X is the number of Evos you have equipped.",Mechanologist Action - Attack,,,,No,P,R,EA,Tanapon Wachirakul,,https://dhhim4ltzu1pj.cloudfront.net/media/images/LGS193.width-10000.png,R,,,Tanapon Wachirakul,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO063.png
EVO064,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO065,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO066,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO067,EVO,Mechanical Strength,1,3,5,3,,,"Mechanologist, Action, Attack",Evo Upgrade,,,,,,"**Evo Upgrade** - This gets +X{p}, where X is the number of Evos you have equipped.",Mechanologist Action - Attack,,,,No,R,,,Tomasz Jedruszek,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO067.png,,,,,,
EVO068,EVO,Mechanical Strength,2,3,4,3,,,"Mechanologist, Action, Attack",Evo Upgrade,,,,,,"**Evo Upgrade** - This gets +X{p}, where X is the number of Evos you have equipped.",Mechanologist Action - Attack,,,,No,R,,,Tomasz Jedruszek,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO068.png,,,,,,
EVO069,EVO,Mechanical Strength,3,3,3,3,,,"Mechanologist, Action, Attack",Evo Upgrade,,,,,,"**Evo Upgrade** - This gets +X{p}, where X is the number of Evos you have equipped.",Mechanologist Action - Attack,,,,No,R,,,Tomasz Jedruszek,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO069.png,,,,,,
EVO070,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO071,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO072,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO073,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO074,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO075,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO076,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO077,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO078,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO079,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO080,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO081,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO082,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO083,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO084,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO085,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO086,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO087,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO088,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO089,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO090,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO091,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO092,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO093,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO094,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO095,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO096,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO097,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO098,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO099,EVO,Hyper Driver,1,1,,,,,"Mechanologist, Action, Item",Boost,,,,,,"This enters the arena with 3 steam counters. When it has none, destroy it.

Once per turn, when you **boost** a card, remove a steam counter from this and gain {r}.",Mechanologist Action - Item,,,,,C,,,Alexander Mokhov,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO099.png,,,,,,
EVO100,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO101,EVO,Scrap Trader,1,0,,2,,,"Mechanologist, Action",Scrap,,,,,,"**Scrap**

**Scrap**

Gain {r}{r} for each card this *scrapped**.",Mechanologist Action,,,,,M,,,Anastasia Balakchina,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO101.png,,,,,,
EVO102,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO103,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO104,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO105,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO106,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO107,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO108,EVO,Scrap Hopper,1,0,3,3,,,"Mechanologist, Action, Attack",Scrap,,,,,,"**Scrap**

When this attacks, if it scrapped a card, create a Quicken token.",Mechanologist Action - Attack,,,,No,R,,,Carlos Cruchaga,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO108.png,,,,,,
EVO109,EVO,Scrap Hopper,2,0,2,3,,,"Mechanologist, Action, Attack",Scrap,,,,,,"**Scrap**

When this attacks, if it scrapped a card, create a Quicken token.",Mechanologist Action - Attack,,,,No,R,,,Carlos Cruchaga,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO109.png,,,,,,
EVO110,EVO,Scrap Hopper,3,0,1,3,,,"Mechanologist, Action, Attack",Scrap,,,,,,"**Scrap**

When this attacks, if it scrapped a card, create a Quicken token.",Mechanologist Action - Attack,,,,No,R,,,Carlos Cruchaga,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO110.png,,,,,,
EVO111,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO112,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO113,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO114,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO115,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO116,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO117,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO118,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO119,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO120,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO121,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO122,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO123,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO124,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO125,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVO126,EVO,Junkyard Dogg,1,3,6,3,,,"Mechanologist, Action, Attack",Scrap,,,,,,"**Scrap**

When this attacks, if it **scrapped** a card, this gets +1{p}.",Mechanologist Action - Attack,,,,,C,S,,Marco González,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO126.png,,,,,,
EVO127,EVO,Junkyard Dogg,2,3,5,3,,,"Mechanologist, Action, Attack",Scrap,,,,,,"**Scrap**

When this attacks, if it **scrapped** a card, this gets +1{p}.",Mechanologist Action - Attack,,,,,C,S,,Marco González,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO127.png,,,,,,
EVO128,EVO,Junkyard Dogg,3,3,4,3,,,"Mechanologist, Action, Attack",Scrap,,,,,,"**Scrap**

When this attacks, if it **scrapped** a card, this gets +1{p}.",Mechanologist Action - Attack,,,,,C,S,,Marco González,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO128.png,,,,,,
EVO129,EVO,Scrap Compactor,1,0,3,3,,,"Mechanologist, Action, Attack",Scrap,,,,,,"**Scrap**

When this attacks, if it scrapped a card, you may play your next Evo this turn as though it were an instant.",Mechanologist Action - Attack,,,,,C,,,Yugin Maffioli,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO129.png,,,,,,
EVO130,EVO,Scrap Compactor,2,0,2,3,,,"Mechanologist, Action, Attack",Scrap,,,,,,"**Scrap**

When this attacks, if it scrapped a card, you may play your next Evo this turn as though it were an instant.",Mechanologist Action - Attack,,,,,C,,,Yugin Maffioli,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO130.png,,,,,,
EVO131,EVO,Scrap Compactor,3,0,1,3,,,"Mechanologist, Action, Attack",Scrap,,,,,,"**Scrap**

When this attacks, if it scrapped a card, you may play your next Evo this turn as though it were an instant.",Mechanologist Action - Attack,,,,,C,,,Yugin Maffioli,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO131.png,,,,,,
EVO132,EVO,Scrap Harvester,1,3,6,3,,,"Mechanologist, Action, Attack",Scrap,,,,,,"**Scrap**

When this attacks, if it scrapped a card, put a steam counter on an item you control with crank.",Mechanologist Action - Attack,,,,,C,,,Sandeep Karunakaran,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO132.png,,,,,,
EVO133,EVO,Scrap Harvester,2,3,5,3,,,"Mechanologist, Action, Attack",Scrap,,,,,,"**Scrap**

When this attacks, if it scrapped a card, put a steam counter on an item you control with crank.",Mechanologist Action - Attack,,,,,C,,,Sandeep Karunakaran,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO133.png,,,,,,
EVO134,EVO,Scrap Harvester,3,3,4,3,,,"Mechanologist, Action, Attack",Scrap,,,,,,"**Scrap**

When this attacks, if it scrapped a card, put a steam counter on an item you control with crank.",Mechanologist Action - Attack,,,,,C,,,Sandeep Karunakaran,,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO134.png,,,,,,
EVO135,EVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
