Identifiers,Set Identifiers,Name,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Artists 3,Expansion Slot 3,Flavor Text 3,Identifier 3,Image URL 3,TCGPlayer Product Id 3,TCGPlayer Url 3,Rarity 4,Foiling 4,Art Variations 4,Expansion Slot 4,Artists 4,Flavor Text 4,Identifier 4,Image URL 4,TCGPlayer Product Id 4,TCGPlayer Url 4,Rarity 5,Foiling 5,Art Variations 5,Artists 5,Flavor Text 5,Identifier 5,Image URL 5,TCGPlayer Product Id 5,TCGPlayer Url 5
SEA010,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA011,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA012,SEA,Palantir Aeronought,1,2,6,3,,,,"Mechanologist, Action, Attack",,Thrice per Turn Instant,,,,,"The defending hero must defend this with an equipment they control if able.

**Thrice per Turn Instant** - {t} a cog you control: This gets +1{p}. If this is the third time you've activated this ability, destroy a defending card.",Mechanologist Action - Attack,,,,No,,M,,,寿多 浩 / Hiro Suda,,,SEA012,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA012.png,,,M,R,EA,寿多 浩 / Hiro Suda,,,SEA012,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA012_V2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA013,SEA,Cog in the Machine,1,1,,3,,,,"Mechanologist, Action",,,,,,,"Create 2 Golden Cog tokens.

You may {t} a cog you control. If you do, put this on the bottom of its owner's deck.",Mechanologist Action,,,,No,,M,,,Carlos Cruchaga,,,SEA013,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA013.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA014,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA015,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA016,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA017,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA018,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA019,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA020,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA021,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA022,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA023,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA024,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA025,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA026,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA027,SEA,Sky Skimmer,1,0,4,3,,,,"Mechanologist, Action, Attack",,Once per Turn Instant,Go again,,,,**Once per Turn Instant** - {t} a cog you control: This gets +1{p} or **go again**.,Mechanologist Action - Attack,,,,,,C,S,,Mariusz Gandzel,,"To the ambitious artificer's of Piper's Pier, the sky's the limit.",SEA027,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA027.png,,,C,R,,Mariusz Gandzel,,"To the ambitious artificer's of Piper's Pier, the sky's the limit.",SEA027,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA027.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA028,SEA,Sky Skimmer,2,0,3,3,,,,"Mechanologist, Action, Attack",,Once per Turn Instant,Go again,,,,**Once per Turn Instant** - {t} a cog you control: This gets +1{p} or **go again**.,Mechanologist Action - Attack,,,,,,C,S,,Mariusz Gandzel,,"To the ambitious artificer's of Piper's Pier, the sky's the limit.",SEA028,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA028.png,,,C,R,,Mariusz Gandzel,,"To the ambitious artificer's of Piper's Pier, the sky's the limit.",SEA028,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA028.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA029,SEA,Sky Skimmer,3,0,2,3,,,,"Mechanologist, Action, Attack",,Once per Turn Instant,Go again,,,,**Once per Turn Instant** - {t} a cog you control: This gets +1{p} or **go again**.,Mechanologist Action - Attack,,,,,,C,S,,Mariusz Gandzel,,"To the ambitious artificer's of Piper's Pier, the sky's the limit.",SEA029,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA029.png,,,C,R,,Mariusz Gandzel,,"To the ambitious artificer's of Piper's Pier, the sky's the limit.",SEA029,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA029.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA030,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA031,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA032,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA033,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA034,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA035,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA036,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA037,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA038,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA039,SEA,Draw Back the Hammer,1,1,,2,,,,"Mechanologist, Action",Go again,,,,,,"Your next Mechanologist attack this turn gets +4{p}.

You may {u} a gun you control.

**Go again**",Mechanologist Action,,,,,,C,,,Jefrey Yonathan,,,SEA039,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA039.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA040,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA041,SEA,Tighten the Screws,1,1,,2,,,,"Mechanologist, Action",Go again,,,,,,"Your next Mechanologist attack this turn gets +4{p}.

You may {u} a cog you control.

**Go again**",Mechanologist Action,,,,,,C,,,Kyxarie Peralta,,,SEA041,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA041.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA042,SEA,Golden Cog,,,,,,,,"Mechanologist, Token, Cog, Item",Crank,,,,,,"**Crank**

This enters the arena with a steam counter. At the start of your turn, destroy this unless you remove a steam counter from it.",Mechanologist Token - Cog Item,,,,,,B,S,,Carlos Cruchaga,,,SEA042,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA042.png,,,V,C,FA,Carlos Cruchaga,,,SEA042,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA042-TP.webp,,,V,C,FA,Carlos Cruchaga,,,SEA042,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA042-TP_BACK.webp,,,,,,,,,,,,,,,,,,,,,
"SEA043, HER138","SEA, HER","Gravy Bones, Shipwrecked Looter",,,,,40,4,,"Pirate, Necromancer, Hero",,Instant,,,,,"**Instant** - {t}, destroy a Gold you control: Draw a card, then discard a card.

If a blue card has been put into your graveyard this turn, you may play cards with watery grave from your graveyard.",Pirate Necromancer Hero,,No,,No,,B,S,,Nathaniel Himawan,,,SEA043,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA043.png,,,V,C,FA,Nathaniel Himawan,,,SEA043,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA043-MV.webp,,,V,C,FA,Nathaniel Himawan,,,SEA043,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA043-MV_BACK.webp,,,P,R,,,Nathaniel Himawan,,HER138,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/HER138-RF.webp,,,,,,,,,,,
SEA044,SEA,Gravy Bones,,,,,20,4,,"Pirate, Necromancer, Hero, Young",,Instant,,,,,"**Instant** - {t}, destroy a Gold you control: Draw a card, then discard a card.

If a blue card has been put into your graveyard this turn, you may play cards with watery grave from your graveyard.",Pirate Necromancer Hero - Young,,,No,,No,B,S,,Nathaniel Himawan,,,SEA044,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA044.png,,,V,C,FA,Nathaniel Himawan,,,SEA044,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA044-MV.webp,,,V,C,FA,Nathaniel Himawan,,,SEA044,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA044-MV_BACK.webp,,,,,,,,,,,,,,,,,,,,,
SEA045,SEA,Compass of Sunken Depths,,,,,,,,"Pirate, Necromancer, Equipment, Off-Hand",,Instant,,Go again,,,"**Instant** - {t}: Look at the top card of your deck.

The first card with watery grave you play from your graveyard each turn gets go again.",Pirate Necromancer Equipment - Off-Hand,,,,,,B,S,,Nikko Wahyudi,,,SEA045,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA045.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA046,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA047,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEA048, FAB344","SEA, FAB",Chart the High Seas,3,0,,3,,,,"Pirate, Necromancer, Action",Go again,,,,,,"Look at the top 2 cards of your deck. You may pitch a blue card from among them. Put the rest into your graveyard.

Create a Gold token for each yellow card put into your graveyard this way.

**Go again**",Pirate Necromancer Action,,,,No,,M,S,,Carlos Cruchaga,,,SEA048,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA048.webp,,,M,R,,Carlos Cruchaga,,,SEA048,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA048.webp,,,P,R,EA,Carlos Cruchaga,,,FAB344,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/FAB344-RF.webp,,,,,,,,,,,,,,,,,,,,,
SEA049,SEA,Give No Quarter,3,0,,3,,,,"Pirate, Necromancer, Action",Go again,,,,,,"The next 2 ally cards with watery grave you play this turn cost {r}{r}{r} less to play.

**Go again**",Pirate Necromancer Action,,,,No,,M,,,Nathaniel Himawan,,,SEA049,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA049.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA050,SEA,"Chum, Friendly First Mate",2,4,4,,6,,,"Pirate, Necromancer, Action, Ally",Watery Grave,"Action, Instant",Attack,,,,"**Action** - {t}: Attack

**Instant** - {t}, discard a card with watery grave: Until end of turn, opponents must choose this as the target of attacks if able.

**Watery Grave**",Pirate Necromancer Action - Ally,,,,No,,M,S,,Lius Lasahido,,,SEA050,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA050.webp,,,V,C,FA,Lius Lasahido,,,SEA050,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA050-MV.webp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA051,SEA,Moray le Fay,2,0,0,,3,,,"Pirate, Necromancer, Action, Ally",Watery Grave,"Action, Instant",Attack,,,,"**Action** - {t}: Attack

**Instant** - {r}, {t}: Put a +1{p} counter on target ally.

**Watery Grave**",Pirate Necromancer Action - Ally,,,,No,,M,,,Sebastian Giacobino,,,SEA051,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA051.png,,,V,C,FA,Sebastian Giacobino,,,SEA051,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA051_V2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA052,SEA,Wailer Humperdinck,2,6,11,,7,,,"Pirate, Necromancer, Action, Ally",Watery Grave,"Action, Instant",Attack,,,,"**Action** - {r}{r}{r} {r}{r}{r}, {t}: Attack

**Watery Grave**",Pirate Necromancer Action - Ally,,,,No,,V,C,FA,Joseph Qiu,,,SEA052,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA052_V2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEA053, FAB347","SEA, FAB",Board the Ship,1,2,6,3,,,,"Pirate, Necromancer, Action, Attack",Overpower,,,,,,"When this attacks, you may {t} an ally you control. If you do, this gets **overpower**.",Pirate Necromancer Action - Attack,,,,No,,R,S,,Faizal Fikri,,"""The Reach is dead, but it ain't deserted."" - Captain Rue's Log, final entry",SEA053,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA053.webp,,,R,R,,Faizal Fikri,,"""The Reach is dead, but it ain't deserted."" - Captain Rue's Log, final entry",SEA053,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA053.webp,,,P,R,EA,Faizal Fikri,,,FAB347,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/FAB347-RF.webp,,,,,,,,,,,,,,,,,,,,,
"SEA054, FAB348","SEA, FAB",Paddle Faster,1,0,4,3,,,,"Pirate, Necromancer, Action, Attack",Go again,,,,,,"When this attacks, you may {t} an ally you control. If you do, this gets **go again**.",Pirate Necromancer Action - Attack,,,,No,,R,S,,Marco González,,"Dreadfall Reach. Those who knew its Dhani name are long dead, killed by arcane ambition.",SEA054,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA054.webp,,,R,R,,Marco González,,"Dreadfall Reach. Those who knew its Dhani name are long dead, killed by arcane ambition.",SEA054,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA054.webp,,,P,R,EA,Marco González,,,FAB348,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/FAB348-RF.webp,,,,,,,,,,,,,,,,,,,,,
"SEA055, FAB349","SEA, FAB",Hoist 'Em Up,1,,,4,,,,"Pirate, Necromancer, Block",,,,,,,"When this defends, you may {t} an ally you control. If you do, this gets +1{d}.",Pirate Necromancer Block,,,,No,,R,S,,Thomas Ressuge,,,SEA055,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA055.webp,,,R,R,,Thomas Ressuge,,,SEA055,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/SEA055.webp,,,P,R,EA,Thomas Ressuge,,,FAB349,https://d2wlb52bya4y8z.cloudfront.net/media/cards/large/FAB349-RF.webp,,,,,,,,,,,,,,,,,,,,,
SEA056,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA057,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA058,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA059,SEA,"Kelpie, Tangled Mess",2,0,1,,3,,,"Pirate, Necromancer, Action, Ally",Watery Grave,Action,"Attack, Go again",,,,"**Action** - {t}: Attack

**Action** - {r}, {t}: {t} target hero or ally. **Go again**

**Watery Grave**",Pirate Necromancer Action - Ally,,,,No,,R,,,soyameii,,,SEA059,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA059.png,,,V,C,FA,soyameii,,,SEA059,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA059_V2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA060,SEA,"Limpit, Hop-a-long",2,0,2,,1,,,"Pirate, Necromancer, Action, Ally",Watery Grave,Action,"Attack, Go again",,,,"**Action** - {r}, {t}: Attack. **Go again**

**Watery Grave**",Pirate Necromancer Action - Ally,,,,No,,V,C,FA,Tomasz Jedruszek,,,SEA060,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA060_V2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA061,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA062,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA063,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA064,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA065,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA066,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA067,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA068,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA069,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA070,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA071,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA072,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA073,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA074,SEA,Barnacle,2,2,4,,3,,,"Pirate, Necromancer, Action, Ally",Watery Grave,Action,Attack,,,,"**Action** - {t}: Attack

**Watery Grave**",Pirate Necromancer Action - Ally,,,,,,V,C,FA,Ausonia,,,SEA074,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA074_V2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA075,SEA,"Chowder, Hearty Cook",2,3,3,,3,,,"Pirate, Necromancer, Action, Ally",Watery Grave,"Action, Instant",Attack,,,,"**Action** - {t}: Attack

**Instant** - {t}: Gain 1{h}

**Watery Grave**",Pirate Necromancer Action - Ally,,,,,,V,C,FA,Simon Dominic,,,SEA075,https://storage.googleapis.com/fabmaster/cardfaces/2025-SEA/EN/SEA075_V2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
