Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,Silver Age Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Expansion Slot 3,Artists 3,Flavor Text 3,Image URL 3
AHA011,AHA,Brimming Blade,Red,1,1,,3,,,,"Warrior, Action","Sharpen, Go again",,,,,,"**Sharpen** target sword you control twice.

**Go again**",Warrior Action,,,,,No,,M,,,Tomasz Jedruszek,,,AHA011,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA011.png,,,,,,,,,,,,,,,,,,,
AHA012,AHA,Edict of Steel,Red,1,0,,3,,,,"Warrior, Action","Sharpen, Go again",,,,,,"**Sharpen** target sword you control.

If it has 1 or more +1{p} counters, create a Flurry token.

**Go again**",Warrior Action,,,,,,,C,,,Bastien Jez,,,AHA012,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA012.png,,,,,,,,,,,,,,,,,,,
AHA013,AHA,Sharp Incline,Red,1,0,,3,,,,"Warrior, Action","Sharpen, Go again",,,,,,"**Sharpen** target sword you control.

If it has 1 or more +1{p} counters, your next attack with it this turn costs {r} less to activate.

**Go again**",Warrior Action,,,,,,,C,,,Tommy Suhartono,,,AHA013,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA013.png,,,,,,,,,,,,,,,,,,,
AHA014,AHA,Swordmaster's Path,Red,1,1,,3,,,,"Warrior, Action","Sharpen, Go again",,,,,,"Your next sword attack this turn gets +3{p}.

The next time you would sharpen a sword this turn, instead **sharpen** it an additional time.

**Go again**",Warrior Action,,,,,,,C,,,Wirawan Pranoto,,,AHA014,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA014.png,,,,,,,,,,,,,,,,,,,
AHA015,AHA,Toe the Line,Red,1,0,,,,,,"Warrior, Instant",,,,,,,"The next time you would be dealt damage this turn, prevent 2 of that damage. If you prevent damage this way, create a Flurry token.",Warrior Instant,,,,,,,R,,,Mario Wibisono,,,AHA015,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA015.png,,,,,,,,,,,,,,,,,,,
AHA016,AHA,Flurry Foot Dance,Yellow,2,0,,2,,,,"Warrior, Defense Reaction",,,,,,,"While this is defending, if you control a Flurry token this gets +2{d}.",Warrior Defense Reaction,,,,,,,R,,,Wirawan Pranoto,,,AHA016,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA016.png,,,,,,,,,,,,,,,,,,,
AHA017,AHA,Edict of Steel,Yellow,2,0,,3,,,,"Warrior, Action","Sharpen, Go again",,,,,,"**Sharpen** target sword you control.

If it has 2 or more +1{p} counters, create a Flurry token.

**Go again**",Warrior Action,,,,,,,C,,,Bastien Jez,,,AHA017,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA017.png,,,,,,,,,,,,,,,,,,,
AHA018,AHA,Sharp Incline,Yellow,2,0,,3,,,,"Warrior, Action","Sharpen, Go again",,,,,,"**Sharpen** target sword you control.

If it has 2 or more +1{p} counters, your next attack with it this turn costs {r} less to activate.

**Go again**",Warrior Action,,,,,,,C,,,Tommy Suhartono,,,AHA018,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA018.png,,,,,,,,,,,,,,,,,,,
AHA019,AHA,Backside of the Blade,Blue,3,2,,3,,,,"Warrior, Attack Reaction",,,,,,,"Target weapon attack gets +1{p}. If it has go again, you may attack an additional time with the weapon this turn.",Warrior Attack Reaction,,,,,,,R,,,Faizal Fikri,,,AHA019,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA019.png,,,,,,,,,,,,,,,,,,,
AHA020,AHA,Deadly Display,Blue,3,1,,2,,,,"Warrior, Attack Reaction",,,,,,,"Target weapon attack gets +1{p}. If the weapon has been sharpened this turn, the attack gets ""When this hits a hero, create a Flurry token.""",Warrior Attack Reaction,,,,,,,C,,,Narendra B Adi,,,AHA020,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA020.png,,,,,,,,,,,,,,,,,,,
AHA021,AHA,Olé,Blue,3,1,,3,,,,"Warrior, Attack Reaction",,,,,,,"Remove a +1{p} counter from target attacking weapon. If you do, create a Flurry token and draw a card.",Warrior Attack Reaction,,,,,,,R,,,Muhammad Fajri,,,AHA021,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA021.png,,,,,,,,,,,,,,,,,,,
AHA022,AHA,Edict of Steel,Blue,3,0,,3,,,,"Warrior, Action","Sharpen, Go again",,,,,,"**Sharpen** target sword you control.

If it has 3 or more +1{p} counters, create a Flurry token.

**Go again**",Warrior Action,,,,,,,C,,,Bastien Jez,,,AHA022,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA022.png,,,,,,,,,,,,,,,,,,,
AHA023,AHA,Indefensibly Honed,Blue,3,0,,3,,,,"Warrior, Action","Sharpen, Go again",,,,,,"**Sharpen** target sword you control.

If it has 3 or more +1{p} counters, your next attack with it this turn gets ""When this is defended by 1 or more cards, deal 1 damage to the defending hero."" **Go again**",Warrior Action,,,,,No,,M,,,Elya Nur Sri Ayu,,,AHA023,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA023.png,,,,,,,,,,,,,,,,,,,
AHA024,AHA,Shuck,Blue,3,0,,3,,,,"Warrior, Action",,,,,,,Create a Flurry token.,Warrior Action,,,,,,,C,,,Jessada Sutthi,,,AHA024,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA024.png,,,,,,,,,,,,,,,,,,,
AHA025,AHA,Swordmaster's Path,Blue,3,1,,3,,,,"Warrior, Action","Sharpen, Go again",,,,,,"Your next sword attack this turn gets +1{p}.

The next time you would sharpen a sword this turn, instead **sharpen** it an additional time.

**Go again**",Warrior Action,,,,,,,C,,,Wirawan Pranoto,,,AHA025,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA025.png,,,,,,,,,,,,,,,,,,,
AHA026,AHA,Visit the Dawnsmith,Blue,3,0,,3,,,,"Warrior, Action, Aura",Sharpen,,,,,,"At the start of your turn, destroy this and **sharpen** all swords you control.",Warrior Action - Aura,,,,,,,R,,,Faizal Fikri,,,AHA026,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA026.png,,,,,,,,,,,,,,,,,,,
AHA027,AHA,Flurry,,,,,,,,,"Warrior, Token, Aura",,,,,,,"When you activate a weapon attack, destroy this and you may attack with the weapon twice this turn.",Warrior Token - Aura,,,,,,,B,,,Faizal Fikri,,,AHA027,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA027.png,,,,,,,,,,,,,,,,,,,
AHA028,AHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AHA028,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA028.png,,,,,,,,,,,,,,,,,,,
AHA029,AHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AHA029,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA029.png,,,,,,,,,,,,,,,,,,,
AHA030,AHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AHA030,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA030.png,,,,,,,,,,,,,,,,,,,
AHA031,AHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AHA031,https://storage.googleapis.com/fabmaster/cardfaces/2025-ARMORY-AHA/EN/AHA031.png,,,,,,,,,,,,,,,,,,,
