Identifiers,Set Identifiers,Name,Color,Pitch,Cost,Power,Defense,Life,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,LL Legal,Rarity,Foiling,Art Variations,Artists,Expansion Slot,Flavor Text,Identifier,Image URL,TCGPlayer Product Id,TCGPlayer Url,Rarity 2,Foiling 2,Art Variations 2,Artists 2,Expansion Slot 2,Flavor Text 2,Identifier 2,Image URL 2,TCGPlayer Product Id 2,TCGPlayer Url 2,Rarity 3,Foiling 3,Art Variations 3,Expansion Slot 3,Artists 3,Flavor Text 3,Image URL 3
AVS012,AVS,Runerager Swarm,Red,1,0,3,3,,,,"Runeblade, Action, Attack",,,,,Go again,,,"If you've played or created an aura this turn, this gets **go again**.",Runeblade Action - Attack,,,,,,C,,,Sandeep Karunakaran,,,AVS012,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS012.png,,,,,,,,,,,,,,,,,,,
AVS013,AVS,Condemn to Slaughter,Red,1,1,,3,,,,"Runeblade, Action",,Go again,,,,,,"Your next Runeblade attack this turn gets +3{p}.

You may destroy an aura you control. If you do, each opponent destroys an aura permanent they control.

**Go again**",Runeblade Action,,,,No,,R,,,Tomasz Jedruszek,,,AVS013,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS013.png,,,,,,,,,,,,,,,,,,,
AVS014,AVS,Deadwood Dirge,Red,1,0,,2,,,,"Runeblade, Action",,Go again,,,,,,"Destroy an aura you control. If you do, create 3 Runechant tokens.

**Go again**",Runeblade Action,,,,,,C,,,Rio Sabda,,,AVS014,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS014.png,,,,,,,,,,,,,,,,,,,
AVS015,AVS,Malefic Incantation,Red,1,0,,2,,,,"Runeblade, Action, Aura",,Go again,,,,,,"**Go again**

This enters the arena with 3 verse counters. When it has none, destroy it.

Once per turn, when you play an attack action card, remove a verse counter from this. If you do, create a Runechant token.",Runeblade Action - Aura,,,,No,,R,,,Max Kostin,,,AVS015,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS015.png,,,,,,,,,,,,,,,,,,,
AVS016,AVS,Mordred Tide,Red,1,0,,3,,,,"Runeblade, Action",,Go again,,,,,,"Until end of turn, if you would create one or more Runechant tokens, instead create that many plus 1.

**Go again**",Runeblade Action,,,,No,,M,,,Daria Khlebnikova,,,AVS016,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS016.png,,,,,,,,,,,,,,,,,,,
AVS017,AVS,Read the Runes,Red,1,0,,2,,,,"Runeblade, Action",,,,,,,,Create 3 Runechant tokens.,Runeblade Action,,,,,,C,,,Max Kostin,,,AVS017,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS017.png,,,,,,,,,,,,,,,,,,,
AVS018,AVS,Revel in Runeblood,Red,1,0,,2,,,,"Runeblade, Action",,Go again,,,,,,"If you've played an attack action card and another non-attack action card this turn, create 4 Runechant tokens.

At the beginning of your end phase, destroy all Runechants you control.

**Go again**",Runeblade Action,,,,No,,M,,,Nikolay Moskvin,,,AVS018,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS018.png,,,,,,,,,,,,,,,,,,,
AVS019,AVS,Sonata Arcanix,Red,1,XX,,2,,,X,"Runeblade, Action",,Go again,,,,,,"Reveal the top X+3 cards of your deck.

For each non-attack action card revealed this way, put an attack action card revealed this way into your hand. Then deal arcane damage to target hero equal to the number of cards put into your hand this way. Shuffle, then banish this.

**Go again**",Runeblade Action,,,,No,,M,,,Saad Irfan,,,AVS019,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS019.png,,,,,,,,,,,,,,,,,,,
AVS020,AVS,Ninth Blade of the Blood Oath,Yellow,2,9,9,3,,,,"Runeblade, Action, Attack",,,,,,,,This costs {r} less to play for each Runechant you control.,Runeblade Action - Attack,,,,No,,M,,,Leo Avero,,,AVS020,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS020.png,,,,,,,,,,,,,,,,,,,
AVS021,AVS,Runerager Swarm,Yellow,2,0,2,3,,,,"Runeblade, Action, Attack",,,,,Go again,,,"If you've played or created an aura this turn, this gets **go again**.",Runeblade Action - Attack,,,,,,C,,,Sandeep Karunakaran,,,AVS021,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS021.png,,,,,,,,,,,,,,,,,,,
AVS022,AVS,Malefic Incantation,Yellow,2,0,,2,,,,"Runeblade, Action, Aura",,Go again,,,,,,"**Go again**

This enters the arena with 2 verse counters. When it has none, destroy it.

Once per turn, when you play an attack action card, remove a verse counter from this. If you do, create a Runechant token.",Runeblade Action - Aura,,,,No,,R,,,Max Kostin,,,AVS022,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS022.png,,,,,,,,,,,,,,,,,,,
AVS023,AVS,Amplify the Arknight,Blue,3,3,4,3,,,,"Runeblade, Action, Attack",,,,,,,,This costs {r} less to play for each Runechant you control.,Runeblade Action - Attack,,,,,,C,,,Daniel Jiménez,,,AVS023,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS023.png,,,,,,,,,,,,,,,,,,,
AVS024,AVS,Rune Flash,Blue,3,3,2,3,,,,"Runeblade, Action, Attack",,Go again,,,,,,"This costs {r} less to play for each Runechant token you control.

**Go again**",Runeblade Action - Attack,,,,,,C,,,Dmitry Solodovnikov,,,AVS024,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS024.png,,,,,,,,,,,,,,,,,,,
AVS025,AVS,Runerager Swarm,Blue,3,0,1,3,,,,"Runeblade, Action, Attack",,,,,Go again,,,"If you've played or created an aura this turn, this gets **go again**.",Runeblade Action - Attack,,,,,,C,,,Sandeep Karunakaran,,,AVS025,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS025.png,,,,,,,,,,,,,,,,,,,
AVS026,AVS,Become the Arknight,Blue,3,0,,3,,,,"Runeblade, Action",,"Viserai Specialization, Go again",,,,,,"**Viserai Specialization**

You may discard an action card. If you discard an attack action card this way, search your deck for a Runeblade non-attack action card, reveal it, and put it into your hand. If you discard a non-attack action card this way, search your deck for a Runeblade attack action card, reveal it, and put it into your hand. Shuffle. **Go again**",Runeblade Action,,,,No,,M,,,Nathaniel Himawan,,,AVS026,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS026.png,,,,,,,,,,,,,,,,,,,
AVS027,AVS,Mauvrion Skies,Blue,3,0,,2,,,,"Runeblade, Action",,Go again,,,,,,"The next Runeblade attack action card you play this turn gets **go again** and ""When this hits, create a Runechant token.""

**Go again**",Runeblade Action,,,,No,,R,,,Daria Khlebnikova,,,AVS027,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS027.png,,,,,,,,,,,,,,,,,,,
AVS028,AVS,Sigil of the Arknight,Blue,3,0,,2,,,,"Runeblade, Action, Aura",,Go again,,,,,,"**Go again**

At the beginning of your action phase, destroy this.

When this leaves the arena, reveal the top card of your deck. If it's an attack action card, put it into your hand.",Runeblade Action - Aura,,,,No,,R,,,Flora Silve,,,AVS028,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS028.png,,,,,,,,,,,,,,,,,,,
AVS029,AVS,Tome of the Arknight,Blue,3,1,,2,,,,"Runeblade, Action",,Go again,,,,,,"Reveal the top 2 cards of your deck. If you reveal an attack action card and a non-attack action card this way, put them into your hand.

**Go again**",Runeblade Action,,,,No,,M,,,Daniel Jiménez,,,AVS029,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS029.png,,,,,,,,,,,,,,,,,,,
AVS030,AVS,Runechant,,,,,,,,,"Runeblade, Token, Aura",,,,,,,,"When you play an attack action card or activate a weapon attack, destroy this and deal 1 arcane damage to target opposing hero.",Runeblade Token - Aura,,,,,,B,,,Daniel Jiménez,,,AVS030,https://storage.googleapis.com/cardfaces/2025-ARMORY-AVS/EN/AVS030.png,,,,,,,,,,,,,,,,,,,
