name,identifier,setIdentifiers,sets,rarity,class,talent,type,actionSubType,equipmentType,resourceSubType,tokenSubType,weaponType,handsRequired,pitch,cost,power,defense,specialCost,specialPower,specialDefense,hero,young,health,intellect,keywords,earthFusion,iceFusion,lightningFusion,specialization,bannedFormats,functionalText,typeText,imageUrl
Alpha Rampage,alpha-rampage-red,WTR006,WelcomeToRathe,Majestic,Brute,NotTalented,Action,Attack,,,,,,1,3,9,3,,,,,,,,"Specialization, Intimidate",,,,Rhinar,,"**Rhinar Specialization** *(You may only have Alpha Rampage in your deck if your hero is Rhinar)*

As an additional cost to play Alpha Rampage, discard a random card.

**Intimidate**",Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_6.width-450.png
Bloodrush Bellow,bloodrush-bellow-yellow,WTR007,WelcomeToRathe,Majestic,Brute,NotTalented,Action,,,,,,,2,1,,3,,,,,,,,GoAgain,,,,,,"As an additional cost to play Bloodrush Bellow, discard a random card.

Your Brute attacks gain +2{p} this turn.

If the discarded card has 6 or more {p}, draw 2 cards and Bloodrush Bellow gains **go again**.",Brute Action,https://storage.googleapis.com/fabmaster/media/images/WTR_7.width-450.png
Reckless Swing,reckless-swing-blue,WTR008,WelcomeToRathe,SuperRare,Brute,NotTalented,DefenseReaction,,,,,,,3,0,,4,,,,,,,,,,,,,,"As an additional cost to play Reckless Swing, discard a random card.

If the discarded card has 6 or more {p}, deal 2 damage to the attacking hero.",Brute Defense Reaction,https://storage.googleapis.com/fabmaster/media/images/WTR_8.width-450.png
Sand Sketched Plan,sand-sketched-plan-blue,WTR009,WelcomeToRathe,SuperRare,Brute,NotTalented,Action,,,,,,,3,0,,3,,,,,,,,Specialization,,,,Rhinar,,"**Rhinar Specialization** *(You may only have Sand Sketched Plan your deck if your hero is Rhinar)*

Search your deck for a card, put it into your hand, discard a random card, then shuffle your deck.

If the discarded card has 6 or more {p}, gain 2 action points.",Brute Action,https://storage.googleapis.com/fabmaster/media/images/WTR_9.width-450.png
Bone Head Barrier,bone-head-barrier-yellow,WTR010,WelcomeToRathe,SuperRare,Brute,NotTalented,Instant,,,,,,,2,1,,,,,,,,,,,,,,,,"Roll a 6 sided die. Prevent the next X damage that would be dealt to your hero this turn, where X is the number rolled.",Brute Instant,https://storage.googleapis.com/fabmaster/media/images/WTR_10.width-450.png
Breakneck Battery,breakneck-battery-red,"WTR011, RNR008","WelcomeToRathe, HeroDeck",Rare,Brute,NotTalented,Action,Attack,,,,,,1,2,6,3,,,,,,,,GoAgain,,,,,,"As an additional cost to play Breakneck Battery, discard a random card.

If the discarded card has 6 or more {p}, Breakneck Battery gains **go again**.",Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_11.width-450.png
Breakneck Battery,breakneck-battery-yellow,WTR012,WelcomeToRathe,Rare,Brute,NotTalented,Action,Attack,,,,,,2,2,5,3,,,,,,,,GoAgain,,,,,,"As an additional cost to play Breakneck Battery, discard a random card.

If the discarded card has 6 or more {p}, Breakneck Battery gains **go again**.",Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_12.width-450.png
Breakneck Battery,breakneck-battery-blue,WTR013,WelcomeToRathe,Rare,Brute,NotTalented,Action,Attack,,,,,,3,2,4,3,,,,,,,,GoAgain,,,,,,"As an additional cost to play Breakneck Battery, discard a random card.

If the discarded card has 6 or more {p}, Breakneck Battery gains **go again**.",Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_13.width-450.png
Savage Feast,savage-feast-red,"WTR014, RNR010","WelcomeToRathe, HeroDeck",Rare,Brute,NotTalented,Action,Attack,,,,,,1,2,6,3,,,,,,,,,,,,,,"As an additional cost to play Savage Feast discard a random card.

If the discarded card has 6 or more {p}, draw a card.",Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_14.width-450.png
Savage Feast,savage-feast-yellow,WTR015,WelcomeToRathe,Rare,Brute,NotTalented,Action,Attack,,,,,,2,2,5,3,,,,,,,,,,,,,,"As an additional cost to play Savage Feast discard a random card.

If the discarded card has 6 or more {p}, draw a card.",Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_15.width-450.png
Savage Feast,savage-feast-blue,WTR016,WelcomeToRathe,Rare,Brute,NotTalented,Action,Attack,,,,,,3,2,4,3,,,,,,,,,,,,,,"As an additional cost to play Savage Feast discard a random card.

If the discarded card has 6 or more {p}, draw a card.",Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_16.width-450.png
Barraging Beatdown,barraging-beatdown-red,WTR017,WelcomeToRathe,Rare,Brute,NotTalented,Action,,,,,,,1,0,,3,,,,,,,,"Intimidate, GoAgain",,,,,,"Your next Brute attack this turn gains “While this attack is defended by less than 2 non-equipment cards, it gains +4{p}

**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*

**Go again**",Brute Action,https://storage.googleapis.com/fabmaster/media/images/WTR_17.width-450.png
Barraging Beatdown,barraging-beatdown-yellow,"WTR018, RNR018","WelcomeToRathe, HeroDeck",Rare,Brute,NotTalented,Action,,,,,,,2,0,,3,,,,,,,,"Intimidate, GoAgain",,,,,,"Your next Brute attack this turn gains “While this attack is defended by less than 2 non-equipment cards, it gains +3{p}

**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*

**Go again**",Brute Action,https://storage.googleapis.com/fabmaster/media/images/WTR_18.width-450.png
Barraging Beatdown,barraging-beatdown-blue,"WTR019, RNR025","WelcomeToRathe, HeroDeck",Rare,Brute,NotTalented,Action,,,,,,,3,0,,3,,,,,,,,"Intimidate, GoAgain",,,,,,"Your next Brute attack this turn gains “While this attack is defended by less than 2 non-equipment cards, it gains +2{p}

**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*

**Go again**",Brute Action,https://storage.googleapis.com/fabmaster/media/images/WTR_19.width-450.png
Savage Swing,savage-swing-red,"WTR020, RNR011","WelcomeToRathe, HeroDeck",Common,Brute,NotTalented,Action,Attack,,,,,,1,1,7,3,,,,,,,,,,,,,,"As an additional cost to play Savage Swing, discard a random card.",Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_20.width-450.png
Savage Swing,savage-swing-yellow,"WTR021, RNR016","WelcomeToRathe, HeroDeck",Common,Brute,NotTalented,Action,Attack,,,,,,2,1,6,3,,,,,,,,,,,,,,"As an additional cost to play Savage Swing, discard a random card.",Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_21.width-450.png
Savage Swing,savage-swing-blue,WTR022,WelcomeToRathe,Common,Brute,NotTalented,Action,Attack,,,,,,3,1,5,3,,,,,,,,,,,,,,"As an additional cost to play Savage Swing, discard a random card.",Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_22.width-450.png
Pack Hunt,pack-hunt-red,WTR023,WelcomeToRathe,Common,Brute,NotTalented,Action,Attack,,,,,,1,2,6,3,,,,,,,,Intimidate,,,,,,"**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*",Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_23.width-450.png
Pack Hunt,pack-hunt-yellow,WTR024,WelcomeToRathe,Common,Brute,NotTalented,Action,Attack,,,,,,2,2,5,3,,,,,,,,Intimidate,,,,,,"**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*",Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_24.width-450.png
Pack Hunt,pack-hunt-blue,"WTR025, RNR009","WelcomeToRathe, HeroDeck",Common,Brute,NotTalented,Action,Attack,,,,,,3,2,4,3,,,,,,,,Intimidate,,,,,,"**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*",Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_25.width-450.png
Smash Instinct,smash-instinct-red,"WTR026, RNR012","WelcomeToRathe, HeroDeck",Common,Brute,NotTalented,Action,Attack,,,,,,1,3,7,3,,,,,,,,Intimidate,,,,,,"**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*",Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_26.width-450.png
Smash Instinct,smash-instinct-yellow,"WTR027, RNR017","WelcomeToRathe, HeroDeck",Common,Brute,NotTalented,Action,Attack,,,,,,2,3,6,3,,,,,,,,Intimidate,,,,,,"**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*",Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_27.width-450.png
Smash Instinct,smash-instinct-blue,WTR028,WelcomeToRathe,Common,Brute,NotTalented,Action,Attack,,,,,,3,3,5,3,,,,,,,,Intimidate,,,,,,"**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*",Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_28.width-450.png
Wrecker Romp,wrecker-romp-red,"LGS020, RNR013, WTR029","Promos, HeroDeck, WelcomeToRathe",Common,Brute,NotTalented,Action,Attack,,,,,,1,2,8,3,,,,,,,,,,,,,,As an additional cost to play Wrecker Romp. Discard a random card.,Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/LGS020.width-450.png
Wrecker Romp,wrecker-romp-yellow,"LGS021, WTR030","Promos, WelcomeToRathe",Common,Brute,NotTalented,Action,Attack,,,,,,2,2,7,3,,,,,,,,,,,,,,As an additional cost to play Wrecker Romp. Discard a random card.,Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/LGS021.width-450.png
Wrecker Romp,wrecker-romp-blue,"LGS005, LGS022, RNR023, WTR031","Promos, Promos, HeroDeck, WelcomeToRathe",Common,Brute,NotTalented,Action,Attack,,,,,,3,2,6,3,,,,,,,,,,,,,,As an additional cost to play Wrecker Romp. Discard a random card.,Brute Action – Attack,https://storage.googleapis.com/fabmaster/media/images/LGS005-P.width-450.png
Awakening Bellow,awakening-bellow-red,WTR032,WelcomeToRathe,Common,Brute,NotTalented,Action,,,,,,,1,1,,3,,,,,,,,"Intimidate, GoAgain",,,,,,"The next Brute attack action card you play this turn gains +3{p}

**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*

**Go again**",Brute Action,https://storage.googleapis.com/fabmaster/media/images/WTR_32.width-450.png
Awakening Bellow,awakening-bellow-yellow,WTR033,WelcomeToRathe,Common,Brute,NotTalented,Action,,,,,,,2,1,,3,,,,,,,,"Intimidate, GoAgain",,,,,,"The next Brute attack action card you play this turn gains +2{p}

**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*

**Go again**",Brute Action,https://storage.googleapis.com/fabmaster/media/images/WTR_33.width-450.png
Awakening Bellow,awakening-bellow-blue,"WTR034, RNR024","WelcomeToRathe, HeroDeck",Common,Brute,NotTalented,Action,,,,,,,3,1,,3,,,,,,,,"Intimidate, GoAgain",,,,,,"The next Brute attack action card you play this turn gains +1{p}

**Intimidate** *(Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)*

**Go again**",Brute Action,https://storage.googleapis.com/fabmaster/media/images/WTR_34.width-450.png
Primeval Bellow,primeval-bellow-red,WTR035,WelcomeToRathe,Common,Brute,NotTalented,Action,,,,,,,1,0,,3,,,,,,,,GoAgain,,,,,,"As an additional cost to play Primeval Bellow, discard a random card.

Your next Brute attack this turn gains +5{p}

**Go again**",Brute Action,https://storage.googleapis.com/fabmaster/media/images/WTR_35.width-450.png
Primeval Bellow,primeval-bellow-yellow,WTR036,WelcomeToRathe,Common,Brute,NotTalented,Action,,,,,,,2,0,,3,,,,,,,,GoAgain,,,,,,"As an additional cost to play Primeval Bellow, discard a random card.

Your next Brute attack this turn gains +4{p}

**Go again**",Brute Action,https://storage.googleapis.com/fabmaster/media/images/WTR_36.width-450.png
Primeval Bellow,primeval-bellow-blue,"WTR037, RNR026","WelcomeToRathe, HeroDeck",Common,Brute,NotTalented,Action,,,,,,,3,0,,3,,,,,,,,GoAgain,,,,,,"As an additional cost to play Primeval Bellow, discard a random card.

Your next Brute attack this turn gains +3{p}

**Go again**",Brute Action,https://storage.googleapis.com/fabmaster/media/images/WTR_37.width-450.png
"Bravo, Showstopper",bravo-showstopper,"HER002, HER022, WTR038, CRU022","HeroDeck, HeroDeck, WelcomeToRathe, CrucibleOfWar",Token,Guardian,NotTalented,Hero,,,,,,,,,,,,,,Bravo,,40,4,,,,,,,"**Action** - {r}{r}: Until end of turn, your attack action cards with cost 3 or greater gains **dominate. Go again** *(The defending hero can't defend with more than 1 card from their hand)*",Guardian Hero,https://storage.googleapis.com/fabmaster/media/images/HER002-P.width-450.png
Bravo,bravo,"HER006, HER055, WTR039","HeroDeck, HeroDeck, WelcomeToRathe",Token,Guardian,NotTalented,Hero,,,,,,,,,,,,,,Bravo,TRUE,20,4,,,,,,,"**Action** - {r}{r}: Until end of turn, your attack action cards with cost 3 or greater gains **dominate. Go again** *(The defending hero can't defend with more than 1 card from their hand)*",Guardian Hero – Young,https://storage.googleapis.com/fabmaster/media/images/HER006-P.width-450.png
Anothos,anothos,"FAB061, LGS002, WTR040, CRU023","Promos, Promos, WelcomeToRathe, CrucibleOfWar",Token,Guardian,NotTalented,Weapon,,,,,Hammer,TwoHanded,,,4,,,,,,,,,,,,,,,"**Once per turn Action** - {r}{r}{r}:**Attack**

If you have 2 or more cards in your pitch zone with cost 3 or greater, Anothos has +2{p}.",Guardian Weapon – Hammer (2H),https://storage.googleapis.com/fabmaster/media/images/FAB061.width-450.png
Tectonic Plating,tectonic-plating,"FAB004, WTR041","Promos, WelcomeToRathe",Legendary,Guardian,NotTalented,Equipment,,Chest,,,,,,,,2,,,,,,,,Battleworn,,,,,,"**Once per turn Action** - {r}: Create a Seismic Surge aura token. Go again

**Battleworn** *(If you defend with Tectonic Plating, put a -1{d} counter on it when the combat chain closes.)*",Guardian Equipment – Chest,https://storage.googleapis.com/fabmaster/media/images/FAB004-P.width-450.png
Helm of Isen's Peak,helm-of-isens-peak,WTR042,WelcomeToRathe,Common,Guardian,NotTalented,Equipment,,Head,,,,,,,,1,,,,,,,,Battleworn,,,,,,"**Action** - {r}, destroy Helm of Isen Peak: Your hero gains +1{i} until end of turn.

**Battleworn** *(If you defend with Helm of Isen's Peak, put a -1{d} counter on it when the combat chain closes.)*",Guardian Equipment – Head,https://storage.googleapis.com/fabmaster/media/images/WTR_42.width-450.png
Crippling Crush,crippling-crush-red,WTR043,WelcomeToRathe,Majestic,Guardian,NotTalented,Action,Attack,,,,,,1,7,11,3,,,,,,,,"Specialization, Crush",,,,Bravo,,"**Bravo Specialization** *(You may only have Crippling Crush in your deck if your hero is Bravo.)*

**Crush** - If Crippling Crush deals 4 or more damage to a hero, they discard 2 random cards.",Guardian Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_43.width-450.png
Spinal Crush,spinal-crush-red,WTR044,WelcomeToRathe,Majestic,Guardian,NotTalented,Action,Attack,,,,,,1,5,9,3,,,,,,,,Crush,,,,,,"**Crush** - If Spinal Crush deals 4 or more damage to a hero, action cards, activated abilities, and attacks they control lose and can't gain **go again** during their next action phase.",Guardian Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_44.width-450.png
Cranial Crush,cranial-crush-blue,WTR045,WelcomeToRathe,Majestic,Guardian,NotTalented,Action,Attack,,,,,,3,6,8,3,,,,,,,,Crush,,,,,,"**Crush** - If Cranial Crush deals 4 or more damage to a hero, they can't draw cards during their next action phase",Guardian Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_45.width-450.png
Forged for War,forged-for-war-yellow,WTR046,WelcomeToRathe,SuperRare,Guardian,NotTalented,Action,Aura,,,,,,2,2,,3,,,,,,,,GoAgain,,,,,,"**Go again**

Equipment you control gain +1{d}.

At the beginning of your action phase, destroy Forged for War.",Guardian Action – Aura,https://storage.googleapis.com/fabmaster/media/images/WTR_46.width-450.png
Show Time!,show-time-blue,WTR047,WelcomeToRathe,SuperRare,Guardian,NotTalented,Action,Aura,,,,,,3,3,,3,,,,,,,,Specialization,,,,Bravo,,"**Bravo Specialization** *(You may only have Show Time! In your deck if your hero is Bravo.)*

When Show Time! enters the arena, search your deck for a Guardian attack action card, reveal it and put it into your hand, then shuffle your deck.

At the beginning of your action phase, destroy Show Time! then draw a card.",Guardian Action – Aura,https://storage.googleapis.com/fabmaster/media/images/WTR_47.width-450.png
Disable,disable-red,WTR048,WelcomeToRathe,Rare,Guardian,NotTalented,Action,Attack,,,,,,1,5,9,3,,,,,,,,Crush,,,,,,"**Crush** - If Disable deals 4 or more damage to a hero, put a card from their arsenal on the bottom of its owner deck.",Guardian Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_48.width-450.png
Disable,disable-yellow,WTR049,WelcomeToRathe,Rare,Guardian,NotTalented,Action,Attack,,,,,,2,5,8,3,,,,,,,,Crush,,,,,,"**Crush** - If Disable deals 4 or more damage to a hero, put a card from their arsenal on the bottom of its owner deck.",Guardian Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_49.width-450.png
Disable,disable-blue,WTR050,WelcomeToRathe,Rare,Guardian,NotTalented,Action,Attack,,,,,,3,5,7,3,,,,,,,,Crush,,,,,,"**Crush** - If Disable deals 4 or more damage to a hero, put a card from their arsenal on the bottom of its owner deck.",Guardian Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_50.width-450.png
Staunch Response,staunch-response-red,WTR051,WelcomeToRathe,Rare,Guardian,NotTalented,DefenseReaction,,,,,,,1,2,,7,,,,,,,,,,,,,,"As an additional cost to play Staunch Response you may pay {r}{r}{r}{r}. If you do, Staunch Response gains +3{d}",Guardian Defense Reaction,https://storage.googleapis.com/fabmaster/media/images/WTR_51.width-450.png
Staunch Response,staunch-response-yellow,WTR052,WelcomeToRathe,Rare,Guardian,NotTalented,DefenseReaction,,,,,,,2,2,,6,,,,,,,,,,,,,,"As an additional cost to play Staunch Response you may pay {r}{r}{r}{r}. If you do, Staunch Response gains +3{d}",Guardian Defense Reaction,https://storage.googleapis.com/fabmaster/media/images/WTR_52.width-450.png
Staunch Response,staunch-response-blue,WTR053,WelcomeToRathe,Rare,Guardian,NotTalented,DefenseReaction,,,,,,,3,2,,5,,,,,,,,,,,,,,"As an additional cost to play Staunch Response you may pay {r}{r}{r}{r}. If you do, Staunch Response gains +3{d}",Guardian Defense Reaction,https://storage.googleapis.com/fabmaster/media/images/WTR_53.width-450.png
Blessing of Deliverance,blessing-of-deliverance-red,"LGS006, LGS023, WTR054","Promos, Promos, WelcomeToRathe",Rare,Guardian,NotTalented,Action,Aura,,,,,,1,2,,3,,,,,,,,GoAgain,,,,,,"**Go again**

When Blessing of Deliverance enters the arena, if you have a card in your pitch zone with cost 3 or greater, draw a card.

At the beginning of the action phase, destroy Blessing of Deliverance then reveal the top 3 cards of your deck. Gain 1{h} for each card with cost 3 or greater revealed this way.",Guardian Action – Aura,https://storage.googleapis.com/fabmaster/media/images/LGS006-P.width-450.png
Blessing of Deliverance,blessing-of-deliverance-yellow,"LGS024, WTR055","Promos, WelcomeToRathe",Rare,Guardian,NotTalented,Action,Aura,,,,,,2,2,,3,,,,,,,,GoAgain,,,,,,"**Go again**

When Blessing of Deliverance enters the arena, if you have a card in your pitch zone with cost 3 or greater, draw a card.

At the beginning of the action phase, destroy Blessing of Deliverance then reveal the top 2 cards of your deck. Gain 1{h} for each card with cost 3 or greater revealed this way.",Guardian Action – Aura,https://storage.googleapis.com/fabmaster/media/images/LGS024.width-450.png
Blessing of Deliverance,blessing-of-deliverance-blue,"LGS025, WTR056","Promos, WelcomeToRathe",Rare,Guardian,NotTalented,Action,Aura,,,,,,3,2,,3,,,,,,,,GoAgain,,,,,,"**Go again**

When Blessing of Deliverance enters the arena, if you have a card in your pitch zone with cost 3 or greater, draw a card.

At the beginning of the action phase, destroy Blessing of Deliverance then reveal the top card of your deck. Gain 1{h} for each card with cost 3 or greater revealed this way.",Guardian Action – Aura,https://storage.googleapis.com/fabmaster/media/images/LGS025.width-450.png
Buckling Blow,buckling-blow-red,WTR057,WelcomeToRathe,Common,Guardian,NotTalented,Action,Attack,,,,,,1,4,8,3,,,,,,,,Crush,,,,,,"**Crush** - If Buckling Blow deals 4 or more damage to a hero, put a -1{d} counter on target equipment they control.",Guardian Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_57.width-450.png
Buckling Blow,buckling-blow-yellow,WTR058,WelcomeToRathe,Common,Guardian,NotTalented,Action,Attack,,,,,,2,4,7,3,,,,,,,,Crush,,,,,,"**Crush** - If Buckling Blow deals 4 or more damage to a hero, put a -1{d} counter on target equipment they control.",Guardian Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_58.width-450.png
Buckling Blow,buckling-blow-blue,WTR059,WelcomeToRathe,Common,Guardian,NotTalented,Action,Attack,,,,,,3,4,6,3,,,,,,,,Crush,,,,,,"**Crush** - If Buckling Blow deals 4 or more damage to a hero, put a -1{d} counter on target equipment they control.",Guardian Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_59.width-450.png
Cartilage Crush,cartilage-crush-red,WTR060,WelcomeToRathe,Common,Guardian,NotTalented,Action,Attack,,,,,,1,3,7,3,,,,,,,,Crush,,,,,,"**Crush** - If Cartilage Crush deals 4 or more damage to a hero, their first action during their next turn costs an additional {r}.",Guardian Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_60.width-450.png
Cartilage Crush,cartilage-crush-yellow,WTR061,WelcomeToRathe,Common,Guardian,NotTalented,Action,Attack,,,,,,2,3,6,3,,,,,,,,Crush,,,,,,"**Crush** - If Cartilage Crush deals 4 or more damage to a hero, their first action during their next turn costs an additional {r}.",Guardian Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_61.width-450.png
Cartilage Crush,cartilage-crush-blue,WTR062,WelcomeToRathe,Common,Guardian,NotTalented,Action,Attack,,,,,,3,3,5,3,,,,,,,,Crush,,,,,,"**Crush** - If Cartilage Crush deals 4 or more damage to a hero, their first action during their next turn costs an additional {r}.",Guardian Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_62.width-450.png
Crush Confidence,crush-confidence-red,WTR063,WelcomeToRathe,Common,Guardian,NotTalented,Action,Attack,,,,,,1,3,7,3,,,,,,,,Crush,,,,,,**Crush** - If Crush Confidence deals 4 or more damage to a hero they lose all hero card effects and activated abilities until the end of their next turn. *(Treat the hero card as if the text box is empty)*,Guardian Action – Attack,https://storage.googleapis.com/fabmaster/media/images/WTR_63.width-450.png
